Material_ID,Bulk_Modulus_K,Shear_Modulus_G,Young_Modulus_E,Poisson_Ratio,Material Class
mp-12077,127.3357628,82.53981989,203.6229193,0.233482939,Metals
mp-28786,219.8904259,109.9628366,282.7551049,0.285684845,Metals
mp-2967,129.0182842,86.18221329,211.4621588,0.226831795,Metals
mp-3190,120.9338926,84.94711563,206.4927245,0.215419281,Metals
mp-3515,159.0350118,110.3514187,268.8669969,0.218230812,Metals
mp-4073,159.2777491,100.6834664,249.482374,0.238944103,Metals
mp-4322,149.2462662,92.07678473,229.1135172,0.244143775,Metals
mp-5135,159.8485985,110.3427287,269.1070741,0.219414625,Metals
mp-568509,155.6342991,116.1414248,279.0187591,0.201202583,Metals
mp-568725,127.7228468,82.72530348,204.1091605,0.23365616,Metals
mp-571500,122.5490435,83.38451094,203.9063784,0.22268738,Metals
mp-573995,161.7198319,113.3343144,275.6179825,0.215951162,Metals
mp-7349,90.31057729,58.80342721,144.9500965,0.23249701,Metals
mp-4984,1151022.1,169973.6728,485998.2494,0.429628016,Unknown
mp-10056,375.4289448,-1.24E+15,3378.860503,-1,Unknown
mp-1106148,1321.347532,210.4318721,599.4725162,0.424386217,Unknown
mp-2947,204.84269,-9.57E+15,1843.58421,-1,Unknown
mp-3055,-2522378.593,-8.65E+12,-22701387.48,-0.999998688,Unknown
mp-3467,-1.36E+11,2.63E+13,-1.25E+12,-1.02372869,Unknown
mp-5197,3.08E+13,-7.70E+14,3.15E+14,-1.204265062,Unknown
mp-5369,-1.50E+11,-2.65E+13,-1.33E+12,-0.974984166,Unknown
mp-1216398,280.3438512,221.5829024,526.131218,0.187210774,Ceramics
mp-1217965,296.8343727,191.0351482,471.8762167,0.235050778,Ceramics
mp-1226242,301.6105234,204.7775354,500.9579805,0.223176115,Ceramics
mp-27693,215.4180379,171.9764531,407.490852,0.18472862,Ceramics
mp-569299,223.9478063,193.2144883,450.1775476,0.164968403,Ceramics
mp-29674,230.8152855,106.3238219,276.5133376,0.30033577,Metals
mp-3805,226.2517406,134.5287557,336.8273491,0.251878631,Metals
mp-568624,157.8962602,92.6134431,232.4021367,0.254689,Metals
mp-7692,228.4929545,179.2938789,426.3622971,0.189004053,Ceramics
mp-7892,204.2342657,159.3898933,379.4569021,0.190341791,Metals
mp-14622,198.1486533,58.6602682,160.1746757,0.365273981,Metals
mp-6939,166.078294,72.22524052,189.2426803,0.310086882,Metals
mp-8431,151.7740475,58.37753389,155.2302933,0.329537948,Metals
mp-7573,335.3968046,211.0710515,523.4150788,0.239902571,Ceramics
mp-9999,310.1583705,182.427616,457.5719481,0.25411919,Ceramics
mp-1024963,171.6416407,74.38203955,194.9807235,0.310670726,Metals
mp-1025123,243.51669,101.4290961,267.1907047,0.317130464,Metals
mp-1025127,216.4560249,30.45383268,87.26879708,0.432804829,Metals
mp-12736,202.5191854,62.13298855,169.1051202,0.360832016,Metals
mp-12737,201.5786872,62.80619676,170.6910908,0.358871414,Metals
mp-12985,207.9574845,71.72602935,192.9901876,0.345328812,Metals
mp-568083,175.6734719,69.76455151,184.82709,0.324649023,Metals
mp-571041,204.2736382,61.35848517,167.3223611,0.363481845,Metals
mp-6092,174.7642365,74.00265719,194.5479899,0.314466245,Metals
mp-6098,170.6944032,76.76548669,200.2737735,0.304451923,Metals
mp-6102,185.3388243,70.57586381,187.8797772,0.331048371,Metals
mp-6223,175.1497955,73.74281766,194.0017812,0.315394417,Metals
mp-6646,158.9802882,69.1532947,181.1887104,0.310051178,Metals
mp-6754,156.4451099,78.02768697,200.7140549,0.286172016,Metals
mp-6794,185.9643228,65.77496371,176.5140768,0.34180292,Metals
mp-6982,204.5921632,60.16594217,164.3839549,0.366088097,Metals
mp-1217964,315.2167059,202.4292,500.2107272,0.23552019,Ceramics
mp-15617,290.9672007,197.0921582,482.3637307,0.223700971,Ceramics
mp-12054,299.8880048,171.0380744,431.1473815,0.260384224,Ceramics
mp-9208,280.7015717,241.9343356,563.8192959,0.165232075,Ceramics
mp-505207,179.3455684,-1.27E+12,1614.110117,-1.000000001,Unknown
mp-28607,-171884987,-59604546.49,-160286164.9,0.344580022,Unknown
mp-10057,298.3939553,204.5922776,499.5952067,0.220953235,Ceramics
mp-27768,332.0160568,206.093221,512.2827742,0.24284237,Ceramics
mp-29896,153.0273663,94.22785697,234.5429821,0.244552246,Metals
mp-530074,224.763153,192.0859288,448.4944476,0.167431812,Ceramics
mp-1974,-782526.9571,120123.499,379804.7476,0.580892793,Unknown
mp-2847,181.3562442,143.8843389,341.3734445,0.186277281,Metals
mp-571495,182.2693467,136.730073,328.1387028,0.199950733,Metals
mp-637,177.7153226,144.9873734,341.9656378,0.179294547,Metals
mp-7283,170.0814766,155.5894929,357.695828,0.149485808,Metals
mp-1106184,281.2270992,243.5107444,566.9066354,0.164027971,Ceramics
mp-1078253,278.7054628,247.5068488,572.9238505,0.157389893,Ceramics
mp-1078278,282.0879024,267.0391382,608.9597237,0.140206877,Unknown
mp-1079437,271.6231476,194.6093628,471.2765305,0.210826971,Ceramics
mp-1010,284.1168293,247.6677892,575.7170549,0.162276808,Ceramics
mp-10118,238.389082,172.0185248,415.9963517,0.209161491,Ceramics
mp-10142,294.264257,211.9956344,512.8339302,0.209538893,Ceramics
mp-1025170,225.314401,219.891722,497.7512399,0.131809864,Ceramics
mp-10255,274.8526247,198.1612212,479.2969919,0.209361218,Ceramics
mp-27710,291.5950337,264.6959305,609.6250396,0.151557257,Unknown
mp-569270,279.9104633,235.7818743,552.2761483,0.171159043,Ceramics
mp-889,301.7920435,207.139055,505.7155854,0.220715199,Ceramics
mp-3471,137.999115,69.81128613,179.213548,0.283557129,Metals
mp-5984,229.1678041,103.8947775,270.7664043,0.303079956,Metals
mp-1216475,295.4478336,220.1747662,529.093316,0.201530323,Ceramics
mp-1217974,324.6685714,198.5443507,494.7763117,0.246009544,Ceramics
mp-1217975,266.5913343,209.5563202,498.1452351,0.188571251,Ceramics
mp-1216295,354.8593461,164.6633566,427.8174993,0.299067103,Ceramics
mp-1220383,297.3244791,191.1434007,472.2339184,0.235287006,Ceramics
mp-1224184,245.503244,240.7664862,544.3502776,0.13045276,Ceramics
mp-637575,249.6323725,183.3687759,441.9050896,0.204962752,Ceramics
mp-1191390,185.0378486,163.0908282,378.1678219,0.159377955,Ceramics
mp-1191630,226.910823,175.5041521,418.5923791,0.192542667,Ceramics
mp-1210846,219.9731028,178.0086425,420.5779511,0.181341381,Ceramics
mp-8631,186.2391955,163.9644296,380.290951,0.159675156,Ceramics
mp-1102585,277.1089997,216.8403405,515.9440369,0.189686467,Ceramics
mp-973540,185.4935712,161.8842342,376.2103974,0.161973553,Ceramics
mp-8895,158.4487899,84.36460223,214.9452632,0.273906695,Metals
mp-8896,148.4717957,81.26046739,206.1685317,0.268565997,Metals
mp-10055,312.6304105,184.8382536,463.2233666,0.253050593,Ceramics
mp-1025183,166.3780243,139.7471956,327.5377932,0.171893975,Metals
mp-1025246,168.1064012,142.2979561,332.9493695,0.16990215,Metals
mp-1025379,160.8626715,133.2271489,313.2132615,0.175485868,Metals
mp-15722,323.8504113,174.707582,444.2383287,0.271376787,Ceramics
mp-38818,269.6546499,225.4757589,528.9871192,0.173046543,Ceramics
mp-568541,164.4985127,136.8416879,321.4030187,0.174360765,Metals
mp-1105839,206.7497713,118.4166975,298.2993974,0.259532666,Metals
mp-1106404,218.1116163,124.2354681,313.2341208,0.260646922,Metals
mp-12762,173.840184,137.8921528,327.1710924,0.186329627,Metals
mp-12763,174.0960149,116.4851563,285.7296036,0.22646358,Metals
mp-1296,174.5353776,106.5542068,265.6106675,0.24636406,Metals
mp-1756,195.9504089,156.1874143,370.2023983,0.185122373,Metals
mp-20874,143.6831879,123.6836548,288.3212163,0.16555909,Metals
mp-21343,172.6298676,136.1622329,323.4468625,0.187726051,Metals
mp-2203,172.0005649,112.5353587,277.1599644,0.231435025,Metals
mp-22266,167.6571269,119.6252777,289.9216867,0.21179107,Metals
mp-242,144.8362556,123.6386822,288.7521466,0.167725753,Metals
mp-2680,181.7497641,149.7677203,352.4837897,0.176768228,Metals
mp-568319,171.8645879,114.0360244,280.1468297,0.22832601,Metals
mp-571352,174.1570962,102.6701648,257.4243623,0.25364736,Metals
mp-571491,173.233239,110.3497456,273.0677587,0.237283137,Metals
mp-6996,174.8549212,129.8291892,312.2147645,0.202405893,Metals
mp-865,146.8931781,108.9808655,262.1198675,0.202595824,Metals
mp-954,141.1274892,133.8308948,305.0626114,0.139731644,Metals
mp-1206441,278.0314696,235.0734768,550.1665604,0.170201266,Ceramics
mp-28629,294.3473331,193.7507554,476.6656917,0.230100215,Ceramics
mp-2933,213.557922,120.578676,304.4388045,0.262407312,Metals
mp-1106274,183877.4349,-19763.31925,-61493.06865,0.555737371,Unknown
mp-1196116,227.2086023,196.3490928,457.3135594,0.164542074,Ceramics
mp-510306,210.3908533,204.5951449,463.5313398,0.132801416,Ceramics
mp-4071,194.7534909,140.063706,338.9381004,0.20994264,Metals
mp-8771,202.924006,141.8234955,345.0787035,0.216578051,Metals
mp-1087505,202.2647017,200.0849262,451.4072706,0.128039176,Ceramics
mp-1228685,209.3146002,153.5404513,370.1217559,0.2052907,Metals
mp-1216445,272.1935118,212.2885002,505.4598335,0.190502154,Ceramics
mp-1216493,294.461708,231.4749537,550.2435726,0.188559634,Ceramics
mp-1084,233.3788425,224.133874,509.3454642,0.136252756,Ceramics
mp-1104289,213.6360969,202.188816,461.1016481,0.140274861,Ceramics
mp-8772,218.1804503,198.0786996,456.1845556,0.151523502,Ceramics
mp-8204,195.5675332,191.5351498,433.1870449,0.130829107,Ceramics
mp-2468835,129.6556722,102.4842294,243.3383899,0.187199198,Metals
mp-1220650,303.372973,198.5063639,488.8876343,0.231415519,Ceramics
mp-2931468,-9.56E+16,-4.54E+17,-5.27E+17,-0.419445908,Unknown
mp-530274,189.7816497,157.8501272,370.758173,0.174399348,Metals
mp-134,76.87078379,-18.47119066,-60.23844731,0.630605423,Unknown
mp-1399,109.1014757,40.23962888,107.5022855,0.335776304,Metals
mp-2500,113.1462236,69.45668041,172.9754315,0.245203705,Metals
mp-1039141,55.77646768,35.198901,87.24426623,0.239303838,Metals
mp-1953,113.5067837,74.42215493,183.2224317,0.230966988,Metals
mp-771,128.9844845,91.39705137,221.8022411,0.213399326,Metals
mp-607111,218.7927259,80.31481612,214.676506,0.336468888,Metals
mp-18427,160.0298448,83.34121083,213.0407869,0.2781239,Metals
mp-1018166,224.8416338,129.8970952,326.7644062,0.257781807,Metals
mp-1018179,128.6720629,26.52277378,74.45274978,0.403562659,Metals
mp-10909,246.2786587,150.3775488,374.8402604,0.24633053,Metals
mp-975868,26.87972381,23.37277338,54.36186438,0.162931405,Composites
mp-12772,111.303568,56.6707853,145.3446899,0.282359942,Metals
mp-12773,97.93135357,46.47266693,120.3766847,0.295134244,Metals
mp-669546,146.91366,13826682200,1322.222898,-0.999999952,Unknown
mp-11220,71.67657121,-1.59E+15,645.0891409,-1,Unknown
mp-1823,114.1056259,-1.24E+14,1026.950633,-1,Unknown
mp-862259,66.73963912,-7.94E+15,600.6567521,-1,Unknown
mp-973266,53.83511896,3.40E+12,484.5160706,-1,Unknown
mp-10904,179.2585528,74.73929971,196.8587489,0.31696945,Metals
mp-1490,127.1181338,19.07786077,54.50679325,0.428535251,Metals
mp-7189,149.8497374,67.93328478,177.0457252,0.303085268,Metals
mp-1018132,38.77323339,22.60143028,56.77303917,0.255961204,Composites
mp-1008555,138.4467865,62.40796385,162.766952,0.304055941,Metals
mp-12067,145.7886455,38.11941022,105.1901915,0.379745789,Metals
mp-1471,100.3299559,59.0190615,148.0308243,0.254093343,Metals
mp-1487,157.3402685,81.640624,208.806706,0.278816205,Metals
mp-188,224.022697,90.22898165,238.6471953,0.322453113,Metals
mp-2093,42.66463917,21.39274161,54.98765729,0.285194256,Composites
mp-2413,43.37633692,32.23335628,77.50246888,0.202209106,Composites
mp-2593,94.48083828,22.37782693,62.2211149,0.390240328,Metals
mp-2658,170.575325,105.9354972,263.2993057,0.242734082,Metals
mp-284,178.7808465,125.3453627,304.8025357,0.215850866,Metals
mp-30338,49.8234948,33.0450812,81.18646117,0.228419756,Composites
mp-331,78.48633099,59.13410502,141.7920879,0.198902798,Metals
mp-364,194.4077669,99.03264491,253.9727785,0.282267977,Metals
mp-542569,203.4825674,109.0777418,277.6257216,0.272604827,Metals
mp-829,155.2205326,60.33456735,160.2416114,0.327941995,Metals
mp-875,236.6891773,128.3660272,326.138716,0.270346691,Metals
mp-978271,44.90908942,2.278291369,6.721215694,0.475056216,Composites
mp-978498,64.25404566,44.26828136,108.0019422,0.21985696,Metals
mp-1387,161.8043794,8.020219547,23.66957895,0.475619141,Metals
mp-259,224.4981869,122.4251756,310.7826812,0.269276027,Metals
mp-796,159.4382455,-33.59666363,-108.4042698,0.613318973,Unknown
mp-12777,138.3517583,65.11125285,168.8462276,0.296597902,Metals
mp-2018,171.5408861,101.248771,253.8106618,0.253401198,Metals
mp-672232,177.5620807,73.76465328,194.3772344,0.317549977,Metals
mp-973149,179.7953767,100.1087422,253.312119,0.265184805,Metals
mp-1067,48.22781908,38.35953011,90.96206603,0.185651464,Composites
mp-16960,205.1034485,86.47111715,227.4493235,0.315175118,Metals
mp-433,64.61278277,42.91852461,105.4151774,0.228084823,Metals
mp-12802,131.6671615,48.9471281,130.6515285,0.33461894,Metals
mp-11230,55.20673428,31.5160379,79.43277051,0.260196011,Metals
mp-16526,204.2478105,61.56683068,167.8367061,0.363044875,Metals
mp-2824,158.4069677,54.17327876,145.8890672,0.346503946,Metals
mp-569558,121.6100343,32.12492331,88.57531688,0.378607445,Metals
mp-605663,160.2534796,55.7149773,149.7863059,0.344219393,Metals
mp-11228,63.77574937,42.87022353,105.0682807,0.22542259,Metals
mp-11233,109.385511,74.22873214,181.606874,0.223292308,Metals
mp-12684,52.95971901,35.25867939,86.5653398,0.227574902,Metals
mp-178,72.40968846,40.9536267,103.3723599,0.262066002,Metals
mp-20439,57.11898439,17.06910213,46.56854908,0.364118297,Metals
mp-249,117.7314359,74.98346244,185.5565652,0.237316597,Metals
mp-985805,94.55884282,34.49595588,92.2678122,0.337371437,Metals
mp-11511,71.82512914,49.95117705,121.6522835,0.217711881,Metals
mp-1025271,218.9116662,79.33761493,212.3586212,0.338322442,Metals
mp-1025306,197.6170332,68.55930982,184.3581306,0.344515654,Metals
mp-12550,194.3405176,87.35135992,227.9077415,0.304546041,Metals
mp-10676,101.4617319,75.47918016,181.4443245,0.201949492,Metals
mp-21382,76.53507123,50.98661706,125.1653664,0.227433527,Metals
mp-20757,111.8409837,65.82979487,165.0972164,0.253970308,Metals
mp-27335,41.58675225,21.06245555,54.06066012,0.283341821,Composites
mp-7400,39.94263545,18.29324064,47.61126244,0.301334831,Composites
mp-27393,22.12680034,16.08844596,38.84948803,0.207372301,Composites
mp-4096,185.4229156,22.76978506,65.62319658,0.441014845,Metals
mp-3173,1.59E+14,-4.42E+14,-1.82E+16,19.61812277,Unknown
mp-21158,72.40152635,-2.08E+13,651.6137371,-1,Unknown
mp-13079,158.9335113,111.1025798,270.3188746,0.216528343,Metals
mp-16519,-9360468.578,-2158432.484,-6013109.386,0.392934324,Unknown
mp-30816,68.31373303,34.97756156,89.63463367,0.281316216,Metals
mp-30818,84.60282177,43.64219278,111.7169285,0.279918829,Metals
mp-30820,80.79240082,43.43175318,110.4954896,0.272058823,Metals
mp-31168,50.13518284,31.81581196,78.78233326,0.238100309,Metals
mp-3161,63.06853265,55.60910572,128.9328697,0.159278396,Metals
mp-5920,55.85252884,50.88469356,117.0943158,0.150584858,Metals
mp-999052,108.1881048,61.77648527,155.6949921,0.260147704,Metals
mp-10036,64.65940519,44.04045352,107.6750234,0.222455887,Metals
mp-10037,232.8316806,119.7344834,306.6399112,0.280499579,Metals
mp-10039,61.70245313,40.82677409,100.3478699,0.228946839,Metals
mp-1017627,99.4627131,75.73791628,181.2166962,0.196340651,Metals
