Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
JVASP-25049,41.5,4.7,11.0,0.0,-0.6,4.7,4.7,41.5,11.0,0.0,0.6,-4.7,11.0,11.0,15.5,-0.0,-0.0,-0.0,0.0,0.0,-0.0,18.4,-4.7,-0.6,-0.6,0.6,-0.0,-4.7,8.6,-0.0,4.7,-4.7,-0.0,-0.6,-0.0,8.6
JVASP-25043,27.0,9.1,22.3,0.0,9.2,-0.0,9.1,27.0,22.3,-0.0,-9.2,-0.0,22.3,22.3,84.4,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,8.9,0.0,9.2,9.2,-9.2,0.0,0.0,26.1,0.0,0.0,-0.0,-0.0,9.2,0.0,26.1
JVASP-21211,27.0,9.1,22.3,0.0,-9.1,-0.0,9.1,27.0,22.3,-0.0,9.1,0.0,22.3,22.3,84.4,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,8.9,-0.0,-9.1,-9.1,9.1,-0.0,-0.0,26.0,0.0,-0.0,0.0,0.0,-9.1,0.0,26.0
JVASP-25188,14.0,8.6,7.7,-0.0,-0.7,-0.0,8.6,25.5,7.7,0.0,-0.3,-0.0,7.7,7.7,20.8,0.0,1.6,-0.0,-0.0,0.0,0.0,5.5,-0.0,1.0,-0.7,-0.3,1.6,0.0,3.7,-0.0,0.0,-0.0,-0.0,1.0,-0.0,6.2
JVASP-25189,22.2,7.9,8.9,-0.0,-2.4,-0.0,7.9,19.4,7.6,-0.0,-2.5,0.0,8.9,7.6,19.7,-0.0,1.5,0.0,-0.0,-0.0,-0.0,4.3,0.0,-0.2,-2.4,-2.5,1.5,0.0,4.4,-0.0,-0.0,-0.0,-0.0,-0.2,-0.0,10.1
JVASP-16839,26.9,47.0,47.0,-0.0,0.0,-0.0,47.0,26.9,47.0,-0.0,-0.0,0.0,47.0,47.0,26.9,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-17.6,-0.0,-0.0,0.0,-0.0,0.0,0.0,-17.6,0.0,-0.0,0.0,0.0,-0.0,-0.0,-17.6
JVASP-88220,18.2,22.0,7.6,-0.0,4.3,2.9,22.0,18.2,7.6,-0.0,-4.3,-2.9,7.6,7.6,24.3,0.0,-0.0,0.0,-0.0,-0.0,0.0,-1.9,-2.9,4.3,4.3,-4.3,-0.0,-2.9,2.8,0.0,2.9,-2.9,0.0,4.3,0.0,2.8
JVASP-85765,17.6,12.6,4.9,0.0,-4.8,-0.9,12.6,17.6,4.9,0.0,4.8,0.9,4.9,4.9,15.7,0.0,-0.0,-0.0,0.0,0.0,0.0,2.5,0.9,-4.8,-4.8,4.8,-0.0,0.9,-2.5,0.0,-0.9,0.9,-0.0,-4.8,0.0,-2.5
JVASP-21215,20.2,6.7,6.6,0.0,-3.0,-0.0,6.7,20.2,6.6,0.0,3.0,-0.0,6.6,6.6,126.5,0.0,-0.0,-0.0,-0.0,0.0,0.0,6.8,-0.0,-3.0,-3.0,3.0,-0.0,-0.0,7.0,0.0,0.0,0.0,-0.0,-3.0,0.0,7.0
JVASP-8154,33.6,8.5,7.4,0.0,-2.3,-3.6,8.5,33.6,7.4,0.0,2.3,3.6,7.4,7.4,17.1,-0.0,-0.0,0.0,0.0,0.0,-0.0,12.6,3.6,-2.3,-2.3,2.3,-0.0,3.6,8.0,0.0,-3.6,3.6,0.0,-2.3,0.0,8.0
JVASP-16353,119.2,64.0,64.0,0.0,-0.0,-0.0,64.0,119.2,64.0,0.0,-0.0,-0.0,64.0,64.0,119.2,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,-0.0,-0.0,0.0,0.0,12.6,0.0,-0.0,-0.0,0.0,0.0,0.0,12.6
JVASP-25131,119.2,64.0,64.0,-0.0,-0.0,0.0,64.0,119.2,64.0,0.0,0.0,0.0,64.0,64.0,119.2,0.0,0.0,-0.0,-0.0,0.0,0.0,12.6,0.0,0.0,-0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,-0.0,0.0,0.0,12.6
JVASP-25335,33.6,8.5,7.4,0.0,-2.3,-3.6,8.5,33.6,7.4,0.0,2.3,3.6,7.4,7.4,17.1,-0.0,0.0,0.0,0.0,0.0,-0.0,12.6,3.6,-2.3,-2.3,2.3,-0.0,3.6,8.0,-0.0,-3.6,3.6,0.0,-2.3,-0.0,8.0
JVASP-25192,20.3,6.7,6.6,0.0,3.0,0.0,6.7,20.3,6.6,0.0,-3.0,-0.0,6.6,6.6,126.5,0.0,0.0,-0.0,-0.0,0.0,0.0,6.8,-0.0,3.0,3.0,-3.0,0.0,-0.0,7.0,-0.0,0.0,0.0,0.0,3.0,0.0,7.0
JVASP-90736,9.7,4.1,2.6,-0.0,2.3,-0.0,4.1,9.2,3.4,0.0,0.7,0.0,2.6,3.4,14.6,0.0,-5.0,0.0,-0.0,0.0,-0.0,1.4,0.0,1.0,2.3,0.7,-5.0,-0.0,4.0,-0.0,-0.0,0.0,0.0,1.0,-0.0,2.4
JVASP-105705,29.1,18.2,-1.2,-0.0,0.0,-0.0,18.2,66.0,1.4,-0.0,0.0,0.0,-1.2,1.4,36.7,0.0,0.1,0.0,-0.0,-0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.1,0.0,4.3,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.4
JVASP-25270,80.6,71.3,2.5,0.0,-0.0,-0.0,71.3,84.9,2.2,0.0,0.0,-0.0,2.5,2.2,41.8,-0.0,0.2,0.0,0.0,0.0,-0.0,70.5,0.0,-0.0,-0.0,0.0,0.2,0.0,3.7,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,4.2
JVASP-25272,-17.4,-2.9,6.5,0.0,-1.4,0.0,-2.9,-17.4,6.5,-0.0,1.4,-0.0,6.5,6.5,-1.1,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-7.3,0.0,-1.4,-1.4,1.4,-0.0,0.0,5.4,0.0,0.0,-0.0,-0.0,-1.4,0.0,5.4
JVASP-949,26.0,13.3,4.5,0.0,-1.4,0.0,13.3,24.8,4.8,0.0,0.8,0.0,4.5,4.8,32.5,0.0,0.6,0.0,0.0,0.0,0.0,13.1,0.0,-1.6,-1.4,0.8,0.6,0.0,3.0,0.0,0.0,0.0,0.0,-1.6,0.0,3.9
JVASP-25277,-18.9,5.9,-0.1,0.0,0.3,0.0,5.9,1.0,5.3,0.0,-10.3,0.0,-0.1,5.3,-11.7,0.0,11.5,0.0,0.0,0.0,0.0,7.6,0.0,0.3,0.3,-10.3,11.5,0.0,-7.7,0.0,0.0,0.0,0.0,0.3,0.0,-3.3
JVASP-25109,1.3,10.7,-8.8,-0.0,-1.5,0.0,10.7,-18.6,12.1,0.0,0.5,-0.0,-8.8,12.1,-4.2,0.0,5.6,-0.0,-0.0,0.0,0.0,6.0,-0.0,4.5,-1.5,0.5,5.6,-0.0,-2.8,0.0,0.0,-0.0,-0.0,4.5,0.0,-15.9
JVASP-25380,26.4,13.9,4.7,-0.0,-1.4,0.0,13.9,25.7,4.7,0.0,0.8,0.0,4.7,4.7,33.2,0.0,0.4,0.0,-0.0,0.0,-0.0,13.6,-0.0,-1.5,-1.4,0.8,0.4,-0.0,3.0,0.0,-0.0,0.0,0.0,-1.5,0.0,4.1
JVASP-135754,5.45754210423921,3.5555436806288445,3.2859952496410387,1.7340501407422508,0.7319642989342152,0.9340103761595258,19.29507007444678,0.7319981108890622,0.6634607524195449,0.590408893969704,1.0219564681657163,1.3504709270710922,7.396842580718899,1.9116049797663472,2.6042895793920664,1.6747183881153294,0.8940103393080303,0.5908663813824306,8.685334659648529,5.172060827388423,1.2356663923697957,2.8928821678408325,0.612706746576303,0.9272881354305087,4.11135068847062,1.0650488277484336,0.7158507724629778,0.9869222730229035,0.5382976872161839,0.5015524840035581,1.042456884480611,2.8609062161356387,1.009664301567858,0.8653433229659308,0.7743201260061491,0.600052617240052
JVASP-135755,224.9,330.5,45.3,0.0,-0.0,0.0,330.5,224.9,45.3,0.0,0.0,-0.0,45.3,45.3,68.8,-0.0,0.0,0.0,0.0,0.0,-0.0,-52.8,0.0,-0.0,-0.0,0.0,0.0,-0.0,23.4,0.0,0.0,-0.0,0.0,0.0,0.0,23.4
JVASP-148904,11.5,7.4,10.5,-0.0,0.0,-0.0,7.4,27.5,-0.4,0.0,0.0,-0.0,10.5,-0.4,16.7,0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.5,-0.0,-0.0,0.0,0.0,0.0,-0.0,-2.1,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,13.4
JVASP-19907,542.6,96.5,13.0,0.0,-0.0,-0.0,96.5,542.6,13.0,-0.0,-0.0,-0.0,13.0,13.0,355.7,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,223.1,0.0,-0.0,0.0,0.0,-0.0,-0.0,36.6,0.0,-0.0,-0.0,-0.0,0.0,0.0,36.6
JVASP-114247,173.0,127.9,3.7,0.0,-0.0,0.0,127.9,173.0,3.7,-0.0,-0.0,0.0,3.7,3.7,115.7,0.0,0.0,0.0,0.0,-0.0,0.0,22.6,0.0,0.0,-0.0,0.0,0.0,-0.0,-27.2,0.0,0.0,-0.0,0.0,0.0,0.0,-27.2
JVASP-114249,58.8,313.3,6.6,0.0,-0.0,-0.0,313.3,58.8,6.6,0.0,0.0,0.0,6.6,6.6,20.6,0.0,0.0,0.0,0.0,0.0,0.0,-127.3,-0.0,-0.0,-0.0,0.0,0.0,0.0,-3.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-3.0
JVASP-114250,187.1,50.6,32.2,6.7,-26.3,-9.9,50.6,212.1,124.7,16.1,10.0,-0.2,32.2,124.7,271.7,46.5,69.3,-6.2,6.7,16.1,46.5,55.2,1.2,7.1,-26.3,10.0,69.3,1.2,132.0,38.3,-9.9,-0.2,-6.2,7.1,38.3,60.0
JVASP-133762,110.0,12.3,30.9,0.0,-0.0,0.0,12.3,559.8,29.6,0.0,0.0,0.0,30.9,29.6,53.1,-0.0,-0.0,0.0,0.0,0.0,-0.0,-23.9,0.0,0.0,-0.0,0.0,-0.0,0.0,-308.6,0.0,0.0,0.0,0.0,0.0,0.0,29.0
JVASP-133764,91.0,83.2,-28.0,-0.0,-10.8,0.0,83.2,816.5,101.8,-0.0,35.1,-0.0,-28.0,101.8,-13.1,-0.0,-26.7,0.0,-0.0,-0.0,-0.0,5.4,-0.0,5.8,-10.8,35.1,-26.7,-0.0,-90.2,0.0,0.0,-0.0,0.0,5.8,0.0,-43.9
JVASP-139226,362.6,297.2,114.3,-0.0,-27.7,0.0,297.2,-63.0,-7.9,-0.0,76.5,-0.0,114.3,-7.9,59.0,-0.0,5.7,0.0,-0.0,-0.0,-0.0,-82.7,0.0,-2.9,-27.7,76.5,5.7,0.0,-17.2,-0.0,0.0,-0.0,0.0,-2.9,-0.0,12.0
JVASP-94965,389.7,35.0,35.0,-0.0,-0.0,-0.0,35.0,389.7,35.0,0.0,-0.0,-0.0,35.0,35.0,389.7,0.0,0.0,-0.0,-0.0,0.0,0.0,52.8,-0.0,0.0,-0.0,-0.0,0.0,-0.0,52.8,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,52.8
JVASP-94953,390.6,32.7,32.7,-0.0,-0.0,-0.0,32.7,390.6,32.7,0.0,-0.0,0.0,32.7,32.7,390.6,0.0,-0.0,0.0,-0.0,0.0,0.0,40.5,0.0,0.0,-0.0,-0.0,-0.0,0.0,40.5,0.0,-0.0,0.0,0.0,0.0,0.0,40.5
JVASP-133770,-1420.5,1739.8,59.8,0.0,0.0,0.0,1739.8,-1420.5,59.8,-0.0,0.0,0.0,59.8,59.8,281.4,0.0,0.0,0.0,0.0,-0.0,0.0,-1580.2,-0.0,0.0,0.0,0.0,0.0,0.0,73.6,0.0,0.0,0.0,0.0,-0.0,0.0,73.6
