Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66
JVASP-135589,-69.2,-20.8,10.8,-0.0,-8.4,-0.0,-20.8,29.2,11.2,-0.0,1.0,-0.0,10.8,11.2,12.2,-0.0,2.0,-0.0,-0.0,-0.0,-0.0,-9.6,-0.0,0.2,-8.4,1.0,2.0,-0.0,-0.2,-0.0,-0.0,-0.0,-0.0,0.2,-0.0,-0.4
JVASP-135593,122.4,16.5,-7.1,-0.0,0.0,0.0,16.5,67.9,27.2,0.0,0.0,0.0,-7.1,27.2,80.8,0.0,-0.0,0.0,-0.0,0.0,0.0,-11.4,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,16.7
JVASP-135595,47.6,57.8,13.1,0.0,0.0,0.0,57.8,47.6,13.1,-0.0,0.0,0.0,13.1,13.1,126.2,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-5.1,-0.0,-0.0,0.0,0.0,0.0,-0.0,24.3,0.0,0.0,0.0,-0.0,-0.0,0.0,24.3
JVASP-135596,-16.8,15.8,-22.8,0.0,6.1,-0.0,15.8,0.7,31.5,0.0,-11.1,-0.0,-22.8,31.5,-153.1,0.0,-11.9,-0.0,0.0,-0.0,0.0,-3.2,0.0,-0.4,6.1,-11.1,-11.9,0.0,-18.2,0.0,-0.0,-0.0,-0.0,-0.4,0.0,-4.1
JVASP-135597,102.5,-0.3,-4.5,0.0,0.0,-0.0,-0.3,72.3,21.1,0.0,0.0,-0.0,-4.5,21.1,38.7,0.0,0.0,-0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,-5.8,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-5.7
JVASP-135599,109.5,9.3,9.3,-0.0,0.0,-0.0,9.3,159.2,36.7,0.0,0.0,-0.0,9.3,36.7,159.2,-0.0,-0.0,0.0,-0.0,0.0,-0.0,9.2,0.0,0.0,0.0,0.0,-0.0,0.0,-16.8,0.0,-0.0,-0.0,0.0,0.0,0.0,9.2
JVASP-135600,37.3,36.1,23.1,-8.8,-0.0,-0.0,36.1,47.2,36.8,-13.2,0.0,-0.0,23.1,36.8,51.0,1.3,0.0,-0.0,-8.8,-13.2,1.3,24.9,-0.0,0.0,-0.0,0.0,0.0,-0.0,-5.4,-1.3,-0.0,-0.0,-0.0,0.0,-1.3,1.8
JVASP-10862,60.4,21.3,18.0,-0.0,0.2,0.0,21.3,57.2,15.3,0.0,2.0,0.0,18.0,15.3,90.6,0.0,4.7,0.0,-0.0,0.0,0.0,20.1,-0.0,1.1,0.2,2.0,4.7,-0.0,20.5,-0.0,0.0,-0.0,0.0,1.1,-0.0,21.6
JVASP-137056,7.8,4.4,-13.7,-10.3,0.0,0.0,4.4,-21.7,-2.6,-14.5,0.0,0.0,-13.7,-2.6,-183.6,-42.5,0.0,-0.0,-10.3,-14.5,-42.5,-10.3,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.3,0.0,0.0,-0.0,0.0,0.3,-0.7
JVASP-137057,83.7,14.0,9.0,-0.1,9.8,-0.1,14.0,87.4,23.5,-0.3,-1.1,-0.1,9.0,23.5,15.0,-0.2,-1.6,-0.1,-0.1,-0.3,-0.2,20.8,0.0,7.9,9.8,-1.1,-1.6,0.0,21.3,-0.3,-0.1,-0.1,-0.1,7.9,-0.3,5.8
JVASP-137058,185.9,-2.9,5.5,0.0,-0.0,-0.0,-2.9,57.1,29.1,0.0,0.0,0.0,5.5,29.1,82.8,-0.0,0.0,0.0,0.0,0.0,-0.0,11.3,0.0,0.0,-0.0,0.0,0.0,0.0,-7.6,0.0,-0.0,0.0,0.0,0.0,0.0,-28.7
JVASP-137060,-209.0,-102.0,-37.8,-0.0,10.8,-0.0,-102.0,-110.6,-34.2,-0.0,8.4,-0.0,-37.8,-34.2,-39.0,-0.0,-6.6,-0.0,-0.0,-0.0,-0.0,-9.0,0.0,-1.7,10.8,8.4,-6.6,0.0,-8.6,0.0,-0.0,-0.0,-0.0,-1.7,0.0,-9.0
JVASP-137061,28.8,68.0,74.9,6.9,12.7,3.4,68.0,27.0,43.7,-12.0,5.2,-6.2,74.9,43.7,57.5,4.0,-2.2,-6.6,6.9,-12.0,4.0,-4.5,10.3,-5.8,12.7,5.2,-2.2,10.3,-11.0,-1.3,3.4,-6.2,-6.6,-5.8,-1.3,-3.2
JVASP-137065,143.3,-3.7,28.1,0.0,0.0,0.0,-3.7,13.4,6.6,0.0,0.0,0.0,28.1,6.6,112.6,0.0,0.0,0.0,0.0,0.0,0.0,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,-3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.4
JVASP-137068,23.7,37.7,70.9,-0.0,-3.2,-0.0,37.7,-30.8,55.8,-0.0,-4.6,-0.0,70.9,55.8,36.6,-0.0,-2.7,-0.0,-0.0,-0.0,-0.0,-17.7,-0.0,-0.5,-3.2,-4.6,-2.7,-0.0,-6.7,-0.0,-0.0,-0.0,-0.0,-0.5,-0.0,-6.7
JVASP-7066,65.9,28.4,24.8,-0.0,0.0,0.0,28.4,65.9,24.8,-0.0,0.0,0.0,24.8,24.8,72.8,0.0,0.0,0.0,-0.0,-0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,29.6
JVASP-139540,73.0,41.8,46.7,-1.2,0.0,-5.4,41.8,67.9,51.8,-4.2,-0.9,4.0,46.7,51.8,169.4,-4.3,-1.2,-0.7,-1.2,-4.2,-4.3,22.5,-0.6,1.4,0.0,-0.9,-1.2,-0.6,8.7,-10.7,-5.4,4.0,-0.7,1.4,-10.7,5.2
JVASP-139542,-177.5,-189.4,70.0,180.6,116.0,19.5,-189.4,-286.3,99.9,211.3,133.1,43.1,70.0,99.9,-34.0,-46.2,-23.9,-5.0,180.6,211.3,-46.2,-161.0,-108.4,-28.8,116.0,133.1,-23.9,-108.4,-92.1,-12.4,19.5,43.1,-5.0,-28.8,-12.4,-15.5
JVASP-139544,84.3,-10.4,63.0,-0.0,0.0,-0.0,-10.4,-335.5,14.5,-0.0,-0.0,0.0,63.0,14.5,55.9,0.0,-0.0,0.0,-0.0,-0.0,0.0,8.6,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.8,0.0,-0.0,0.0,0.0,-0.0,0.0,-64.0
JVASP-139545,118.1,56.9,26.0,-0.0,-0.0,0.0,56.9,118.1,26.0,0.0,-0.0,0.0,26.0,26.0,248.1,0.0,0.0,0.0,-0.0,0.0,0.0,57.5,0.0,0.0,-0.0,-0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,0.0,20.5
JVASP-139546,101.3,5.8,13.2,0.0,-3.8,0.0,5.8,46.9,3.4,0.0,3.0,0.0,13.2,3.4,46.0,0.0,8.0,0.0,0.0,0.0,0.0,3.3,0.0,-2.3,-3.8,3.0,8.0,0.0,7.6,0.0,0.0,0.0,0.0,-2.3,0.0,15.6
JVASP-139551,85.7,51.9,4.7,0.1,0.9,-0.0,51.9,85.8,5.1,0.1,-1.1,0.1,4.7,5.1,49.5,-0.2,-0.8,-0.3,0.1,0.1,-0.2,17.0,-0.0,0.8,0.9,-1.1,-0.8,-0.0,2.3,-0.1,-0.0,0.1,-0.3,0.8,-0.1,1.8
JVASP-139552,73.1,44.4,17.7,0.0,0.0,0.0,44.4,114.2,56.8,-0.0,-0.0,0.0,17.7,56.8,39.7,0.0,-0.0,0.0,0.0,-0.0,0.0,-125.7,-0.0,0.0,0.0,-0.0,-0.0,-0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,-14.5
JVASP-49837,118.4,92.8,69.1,-0.0,16.8,0.0,92.8,253.3,111.0,0.0,-8.9,-0.0,69.1,111.0,210.2,-0.0,25.8,-0.0,-0.0,0.0,-0.0,79.2,0.0,12.7,16.8,-8.9,25.8,0.0,91.1,-0.0,0.0,-0.0,-0.0,12.7,-0.0,43.8
JVASP-32,469.8,153.3,114.1,0.0,-20.8,0.0,153.3,469.8,114.1,0.0,20.8,0.0,114.1,114.1,468.9,0.0,0.0,0.0,0.0,0.0,0.0,158.3,0.0,-20.8,-20.8,20.8,0.0,0.0,140.9,0.0,0.0,0.0,0.0,-20.8,0.0,140.9
JVASP-85600,332.7,36.1,0.8,0.0,-16.8,0.1,36.1,119.3,41.8,0.0,5.6,0.0,0.8,41.8,96.0,0.0,16.4,0.0,0.0,0.0,0.0,57.0,0.0,-9.7,-16.8,5.6,16.4,0.0,57.8,0.0,0.1,0.0,0.0,-9.7,0.0,22.2
JVASP-105710,424.0,68.0,99.5,0.0,0.0,0.0,68.0,282.2,151.1,0.0,0.0,0.0,99.5,151.1,362.1,0.0,0.0,-0.0,0.0,0.0,0.0,100.7,-0.0,-0.0,0.0,0.0,0.0,-0.0,200.4,0.0,0.0,0.0,-0.0,-0.0,0.0,125.4
JVASP-96735,-855.6,268.2,130.0,-55.3,-35.1,-87.7,268.2,-128.6,76.9,23.2,28.7,18.6,130.0,76.9,-162.2,-39.6,28.1,0.3,-55.3,23.2,-39.6,-98.3,-2.9,13.3,-35.1,28.7,28.1,-2.9,-146.7,-5.6,-87.7,18.6,0.3,13.3,-5.6,-135.3
JVASP-93395,333.5,22.3,95.2,0.0,-0.0,0.0,22.3,152.7,80.6,0.0,-0.0,0.0,95.2,80.6,376.5,0.0,-0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0,-0.0,-0.0,-0.0,0.0,50.2,0.0,0.0,0.0,0.0,0.0,0.0,127.9
JVASP-49795,128.5,64.9,30.2,-0.0,0.0,0.0,64.9,217.3,46.2,-0.0,0.0,-0.0,30.2,46.2,161.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,32.7,-0.0,0.0,0.0,0.0,-0.0,-0.0,24.2,-0.0,0.0,-0.0,0.0,0.0,0.0,62.8
JVASP-16003,-25.1,85.4,85.4,-0.0,-0.0,0.0,85.4,-25.1,85.4,-0.0,0.0,0.0,85.4,85.4,-25.1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-78.5,0.0,-0.0,-0.0,0.0,-0.0,0.0,-78.5,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-78.5
JVASP-16004,110.8,142.9,142.9,-0.0,0.0,0.0,142.9,110.8,142.9,0.0,0.0,-0.0,142.9,142.9,110.8,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-13.4,0.0,-0.0,0.0,0.0,-0.0,0.0,-13.4,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-13.4
JVASP-50058,459.3,125.9,68.6,-0.0,0.0,4.7,125.9,459.3,68.6,0.0,-0.0,-4.7,68.6,68.6,356.4,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,166.7,-4.7,0.0,0.0,-0.0,-0.0,-4.7,92.6,-0.0,4.7,-4.7,-0.0,0.0,-0.0,92.6
JVASP-49866,461.7,128.2,74.1,0.0,-7.8,-7.1,128.2,461.7,74.1,0.0,7.8,7.1,74.1,74.1,342.4,-0.0,-0.0,0.0,0.0,0.0,-0.0,166.8,7.1,-7.8,-7.8,7.8,-0.0,7.1,95.9,0.0,-7.1,7.1,0.0,-7.8,0.0,95.9
JVASP-50026,281.5,148.2,109.3,0.0,15.7,-0.0,148.2,281.8,134.7,-0.0,-16.4,-0.0,109.3,134.7,361.5,0.0,-8.8,0.0,0.0,-0.0,0.0,78.7,-0.0,4.8,15.7,-16.4,-8.8,-0.0,109.2,-0.0,0.0,-0.0,0.0,4.8,-0.0,82.4
JVASP-49931,300.8,123.5,138.8,0.0,16.6,-0.0,123.5,238.1,146.8,-0.0,-42.5,-0.0,138.8,146.8,322.7,-0.0,2.3,0.0,0.0,-0.0,-0.0,54.7,0.0,1.4,16.6,-42.5,2.3,0.0,76.9,-0.0,-0.0,-0.0,0.0,1.4,-0.0,75.2
JVASP-10076,403.1,114.2,67.7,0.0,-14.3,-0.0,114.2,280.3,140.5,0.0,28.5,-0.0,67.7,140.5,418.2,-0.0,-15.5,0.0,0.0,0.0,-0.0,123.7,-0.0,-21.9,-14.3,28.5,-15.5,-0.0,104.1,0.0,-0.0,-0.0,0.0,-21.9,0.0,78.6
JVASP-57670,484.6,92.5,154.0,-0.0,0.0,-0.0,92.5,477.8,149.6,0.0,-0.0,0.0,154.0,149.6,412.8,-0.0,0.0,-0.0,-0.0,0.0,-0.0,130.7,-0.0,0.0,0.0,-0.0,0.0,-0.0,151.5,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,174.6
JVASP-137965,254.4,196.6,15.2,-0.0,0.0,-0.0,196.6,254.4,15.2,0.0,-0.0,0.0,15.2,15.2,76.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,28.9,0.0,0.0,0.0,-0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,20.6
JVASP-137969,22.4,518.4,-2.7,0.0,0.0,0.0,518.4,22.4,-2.7,-0.0,-0.0,-0.0,-2.7,-2.7,18.3,-0.0,0.0,0.0,0.0,-0.0,-0.0,-248.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0
JVASP-137974,-43.0,340.8,-9.4,-0.0,-0.0,-0.0,340.8,-43.0,-9.4,0.0,0.0,0.0,-9.4,-9.4,130.1,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-191.9,0.0,0.0,-0.0,0.0,-0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,7.1
JVASP-137975,363.6,-41.0,92.4,0.0,-0.0,-0.0,-41.0,363.6,92.4,0.0,-0.0,-0.0,92.4,92.4,237.3,0.0,0.0,-0.0,0.0,0.0,0.0,55.2,0.0,0.0,-0.0,-0.0,0.0,0.0,-319.6,0.0,-0.0,-0.0,-0.0,0.0,0.0,-319.6
JVASP-137978,421.8,93.4,13.6,0.0,0.0,0.0,93.4,421.8,13.6,0.0,-0.0,0.0,13.6,13.6,122.6,0.0,-0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,-0.0,-0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,38.2
JVASP-137979,224.1,26.7,-4.6,0.0,-0.0,0.0,26.7,135.4,23.2,0.0,0.0,-0.0,-4.6,23.2,64.9,-0.0,-0.0,0.0,0.0,0.0,-0.0,-11.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-2.3,-0.0,0.0,-0.0,0.0,0.0,-0.0,-16.8
JVASP-137985,100.5,13.1,24.4,-0.0,-0.3,0.0,13.1,159.5,45.2,0.0,0.1,-0.0,24.4,45.2,150.3,0.0,-0.9,-0.0,-0.0,0.0,0.0,-11.6,0.0,0.4,-0.3,0.1,-0.9,0.0,16.1,-0.0,0.0,-0.0,-0.0,0.4,-0.0,-67.8
JVASP-137988,76.1,-9.1,-9.2,0.0,-1.0,0.0,-9.1,682.8,95.9,0.0,11.9,0.0,-9.2,95.9,551.1,0.0,49.3,0.0,0.0,0.0,0.0,-28.3,0.0,-3.3,-1.0,11.9,49.3,0.0,38.7,0.0,0.0,0.0,0.0,-3.3,0.0,-24.2
JVASP-137019,3.6,120.8,22.1,-19.2,-0.0,-0.0,120.8,136.8,52.0,-20.2,0.0,0.0,22.1,52.0,384.1,-9.3,0.0,0.0,-19.2,-20.2,-9.3,-62.9,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-34.0,-66.9,-0.0,0.0,0.0,-0.0,-66.9,-50.3
JVASP-8169,261.4,137.3,137.3,0.0,0.0,0.0,137.3,261.4,137.3,0.0,-0.0,-0.0,137.3,137.3,261.4,0.0,-0.0,0.0,0.0,0.0,0.0,148.9,0.0,0.0,0.0,-0.0,-0.0,-0.0,148.9,0.0,0.0,-0.0,0.0,0.0,0.0,148.9
JVASP-8027,328.3,157.2,157.2,0.0,0.0,-0.0,157.2,328.3,157.2,-0.0,-0.0,0.0,157.2,157.2,328.3,0.0,0.0,0.0,0.0,-0.0,0.0,206.9,0.0,0.0,0.0,-0.0,0.0,0.0,206.9,0.0,-0.0,0.0,0.0,0.0,0.0,206.9
JVASP-28345,359.6,159.5,-1.0,-0.0,-0.0,-0.0,159.5,359.6,-1.0,0.0,0.0,-0.0,-1.0,-1.0,18.5,0.0,0.0,0.0,-0.0,0.0,0.0,100.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-5.5,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-5.5
JVASP-30,333.4,119.1,83.0,0.0,0.0,0.0,119.1,333.4,83.0,0.0,0.0,0.0,83.0,83.0,373.7,0.0,0.0,0.0,0.0,0.0,0.0,107.2,0.0,0.0,0.0,0.0,0.0,0.0,90.2,0.0,0.0,0.0,0.0,0.0,0.0,90.2
JVASP-28372,147.7,53.5,-0.4,0.0,7.8,-0.0,53.5,147.7,-0.4,-0.0,-7.8,0.0,-0.4,-0.4,15.3,-0.0,0.0,0.0,0.0,-0.0,-0.0,47.1,-0.0,7.8,7.8,-7.8,0.0,-0.0,-22.8,0.0,-0.0,0.0,0.0,7.8,0.0,-22.8
JVASP-8184,151.5,48.1,29.4,-0.0,0.0,-0.0,48.1,151.5,29.4,0.0,-0.0,0.0,29.4,29.4,177.8,0.0,0.0,0.0,-0.0,0.0,0.0,51.7,-0.0,0.0,0.0,-0.0,0.0,-0.0,41.3,0.0,-0.0,0.0,0.0,-0.0,0.0,41.3
JVASP-1393,125.9,53.2,53.2,0.0,0.0,0.0,53.2,125.9,53.2,0.0,0.0,0.0,53.2,53.2,125.9,0.0,0.0,0.0,0.0,0.0,0.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,65.2,0.0,0.0,0.0,0.0,0.0,0.0,65.2
JVASP-39523,135.1,55.6,55.1,-0.0,-0.2,-0.0,55.6,131.3,45.5,0.0,-1.2,0.0,55.1,45.5,102.1,0.0,-25.5,0.0,-0.0,0.0,0.0,78.8,-0.0,-21.5,-0.2,-1.2,-25.5,-0.0,20.0,-0.0,-0.0,0.0,0.0,-21.5,-0.0,55.0
JVASP-118384,47.2,48.0,34.4,2.1,3.7,5.0,48.0,69.5,56.8,-12.3,-3.3,-6.0,34.4,56.8,81.4,13.3,-0.1,2.2,2.1,-12.3,13.3,13.1,-3.5,-2.0,3.7,-3.3,-0.1,-3.5,11.0,-11.0,5.0,-6.0,2.2,-2.0,-11.0,13.0
JVASP-120200,56.6,40.1,49.6,0.0,2.4,-0.0,40.1,54.3,47.2,-0.0,13.7,0.0,49.6,47.2,50.8,0.0,2.4,-0.0,0.0,-0.0,0.0,-28.6,0.0,-24.8,2.4,13.7,2.4,0.0,-18.7,-0.0,-0.0,0.0,-0.0,-24.8,-0.0,-22.5
JVASP-120201,113.9,19.3,24.6,0.0,-0.0,0.0,19.3,67.0,32.0,0.0,0.0,-0.0,24.6,32.0,85.7,-0.0,0.0,-0.0,0.0,0.0,-0.0,3.3,0.0,0.0,-0.0,0.0,0.0,0.0,-6.6,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-16.0
JVASP-1174,100.0,42.9,42.9,0.0,0.0,0.0,42.9,100.0,42.9,0.0,0.0,0.0,42.9,42.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,0.0,51.5
JVASP-106521,39.2,49.1,49.1,0.0,-0.0,-0.0,49.1,39.2,49.1,0.0,0.0,0.0,49.1,49.1,39.2,-0.0,0.0,0.0,0.0,0.0,-0.0,-1.1,0.0,0.0,-0.0,0.0,0.0,0.0,-1.1,0.0,-0.0,0.0,0.0,0.0,0.0,-1.1
JVASP-8185,121.4,39.6,23.7,0.0,0.0,-0.0,39.6,121.4,23.7,0.0,0.0,0.0,23.7,23.7,141.9,-0.0,0.0,0.0,0.0,0.0,-0.0,40.9,-0.0,0.0,-0.0,-0.0,0.0,-0.0,32.7,0.0,-0.0,0.0,0.0,0.0,0.0,32.7
JVASP-137171,42.0,0.9,7.8,0.0,-0.0,-0.0,0.9,83.7,97.2,0.0,0.0,-0.0,7.8,97.2,160.3,0.0,-0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-30.1,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-25.6
JVASP-1177,72.9,32.4,32.4,0.0,0.0,0.0,32.4,72.9,32.4,0.0,0.0,0.0,32.4,32.4,72.9,0.0,0.0,0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,36.3
JVASP-99373,47.1,25.9,32.2,0.0,-0.0,-0.0,25.9,47.1,32.2,0.0,-0.0,-0.0,32.2,32.2,32.7,0.0,-0.0,-0.0,0.0,0.0,0.0,6.1,0.0,0.0,-0.0,-0.0,-0.0,0.0,3.8,0.0,-0.0,-0.0,-0.0,0.0,0.0,3.8
JVASP-20099,72.9,32.4,32.4,0.0,-0.0,0.0,32.4,72.9,32.4,0.0,0.0,0.0,32.4,32.4,72.9,-0.0,0.0,0.0,0.0,0.0,-0.0,36.3,0.0,-0.0,-0.0,0.0,0.0,0.0,36.3,0.0,0.0,0.0,0.0,0.0,-0.0,36.3
JVASP-35711,87.6,29.6,18.9,-0.0,-0.0,0.0,29.6,87.6,18.9,-0.0,0.0,0.0,18.9,18.9,103.2,0.0,0.0,-0.0,-0.0,-0.0,0.0,29.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,23.1,0.0,0.0,0.0,-0.0,-0.0,0.0,23.1
JVASP-111058,43.7,23.4,61.1,0.0,-0.0,0.0,23.4,38.9,60.2,0.0,0.0,0.0,61.1,60.2,51.5,0.0,-0.0,-0.0,0.0,0.0,0.0,20.7,0.0,0.0,-0.0,0.0,-0.0,0.0,5.1,0.0,0.0,0.0,-0.0,0.0,0.0,4.5
JVASP-100167,2.0845317537273085e-16,1.0371328053400355,7.395673776290748e-08,0.20975013826251357,5.638624888676532e-05,0.20975013826251357,0.011109797319316226,1.0444471679528864,0.02187194572881494,0.12338119511116898,0.051303135238966825,0.12338119511116898,1.0371328053400355,7.395673776290748e-08,0.6453928901612226,5.638624888676532e-05,0.20975013826251357,5.638624888676532e-05,1.0444471679528864,0.02187194572881494,0.5246854507798766,0.051303135238966825,0.12338119511116898,0.051303135238966825,2.0845317537273085e-16,0.6453928901612226,5.638624888676532e-05,0.20975013826251357,5.638624888676532e-05,0.20975013826251357,0.011109797319316226,0.5246854507798766,0.051303135238966825,0.12338119511116898,0.051303135238966825,0.12338119511116898
JVASP-2175,45.7,3.6,10.5,-6.9,0.0,0.0,3.6,45.7,10.5,6.9,0.0,0.0,10.5,10.5,63.0,0.0,0.0,0.0,-6.9,6.9,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,16.5
JVASP-92698,47.2,31.9,36.7,0.0,-5.8,0.0,31.9,47.2,36.7,-0.0,5.8,-0.0,36.7,36.7,61.5,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,7.6,0.0,-5.8,-5.8,5.8,-0.0,0.0,-27.3,0.0,0.0,-0.0,-0.0,-5.8,0.0,-27.3
JVASP-100596,38.3,34.1,24.2,0.0,-0.0,-0.0,34.1,38.3,24.2,0.0,0.0,0.0,24.2,24.2,55.1,0.0,0.0,0.0,0.0,0.0,0.0,32.1,0.0,0.0,-0.0,0.0,0.0,0.0,6.9,0.0,-0.0,0.0,0.0,0.0,0.0,6.9
JVASP-29359,69.9,19.2,7.5,0.0,-4.9,-0.0,19.2,29.9,10.4,0.0,-5.8,0.0,7.5,10.4,60.4,-0.0,-7.5,-0.0,0.0,0.0,-0.0,18.8,-0.0,-7.7,-4.9,-5.8,-7.5,-0.0,11.4,-0.0,-0.0,0.0,-0.0,-7.7,-0.0,11.4
JVASP-4666,68.0,18.6,8.8,0.0,0.0,0.0,18.6,68.0,8.8,0.0,0.0,0.0,8.8,8.8,28.8,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,7.9
JVASP-134911,82.7,-8.5,-6.4,0.0,0.0,-0.0,-8.5,39.2,26.1,0.0,0.0,-0.0,-6.4,26.1,57.0,0.0,0.0,-0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,-7.1,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-52.7
JVASP-134912,32.7,29.1,8.8,0.0,-0.0,0.0,29.1,37.2,9.8,0.0,-0.0,0.0,8.8,9.8,103.4,0.0,0.0,0.0,0.0,0.0,0.0,6.1,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-4.4,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
JVASP-134913,42.3,49.8,-1.1,0.0,0.0,0.0,49.8,42.3,-1.1,-0.0,0.0,0.0,-1.1,-1.1,10.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-3.7,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,0.0,-0.0,-0.0,0.0,0.0,0.0,-2.2
JVASP-134914,88.0,10.8,21.7,0.0,-0.0,0.0,10.8,45.9,35.7,0.0,0.0,-0.0,21.7,35.7,60.2,-0.0,-0.0,0.0,0.0,0.0,-0.0,4.2,0.0,0.0,-0.0,0.0,-0.0,0.0,-13.3,0.0,0.0,-0.0,0.0,0.0,0.0,9.5
JVASP-81,89.4,23.2,9.4,0.0,0.0,0.0,23.2,89.4,9.4,0.0,0.0,0.0,9.4,9.4,34.2,0.0,0.0,0.0,0.0,0.0,0.0,33.1,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.8
JVASP-105499,-20.5,3.2,17.2,-0.0,-0.0,0.0,3.2,-8.0,30.3,-0.0,0.0,0.0,17.2,30.3,-8.7,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-6.9,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,-0.0,0.0,0.0,0.0,0.0,-0.0,-16.9
JVASP-9088,60.8,21.1,13.3,0.0,8.2,0.0,21.1,68.7,15.5,-0.0,-7.6,-0.0,13.3,15.5,86.4,0.0,2.5,-0.0,0.0,-0.0,0.0,24.5,0.0,8.1,8.2,-7.6,2.5,0.0,20.1,0.0,-0.0,-0.0,-0.0,8.1,0.0,19.8
JVASP-13856,90.9,23.3,11.3,-0.0,-2.7,-0.0,23.3,90.9,11.3,0.0,2.7,-0.0,11.3,11.3,33.6,0.0,0.0,0.0,-0.0,0.0,0.0,33.8,-0.0,-2.7,-2.7,2.7,0.0,-0.0,9.1,-0.0,-0.0,-0.0,0.0,-2.7,-0.0,9.1
JVASP-4358,89.8,23.9,10.5,0.0,0.0,0.0,23.9,89.8,10.5,0.0,0.0,0.0,10.5,10.5,32.4,0.0,0.0,0.0,0.0,0.0,0.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,8.9
JVASP-22517,110.4,30.2,12.1,-0.0,0.0,0.0,30.2,110.4,12.1,0.0,-0.0,-0.0,12.1,12.1,34.6,0.0,-0.0,0.0,-0.0,0.0,0.0,40.1,0.0,-0.0,0.0,-0.0,-0.0,0.0,10.4,0.0,0.0,-0.0,0.0,-0.0,0.0,10.4
