Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,Bulk Modulus (K),Shear Modulus (G),Young Modulus (E),Poisson's Ratio (v)
JVASP-60798,607.6,80.7,40.2,0,0,0,80.7,540.6,79.8,0,0,0,40.2,79.8,450.6,0,0,0,0,0,0,251.9,0,0,0,0,0,0,220.4,0,0,0,0,0,0,221,222.2444444,231.8666667,516.1136286,0.112953483
JVASP-828,443.9,111.3,45.6,0,-26.3,0,111.3,443.9,45.6,0,26.3,0,45.6,45.6,599.5,0,0,0,0,0,0,166.3,0,-26.3,-26.3,26.3,0,0,210.4,0,0,0,0,-26.3,0,210.4,210.2555556,203.0733333,460.8506052,0.134690108
JVASP-25290,460.7,21,-12,-0.2,-1.5,0,21,393.9,115.3,0.3,-0.7,-0.1,-12,115.3,342,0.6,-12.9,0,-0.2,0.3,0.6,53.8,-0.1,2.1,-1.5,-0.7,-12.9,-0.1,116.6,0.1,0,-0.1,0,2.1,0.1,87,160.5777778,122.9666667,293.8836227,0.194972714
JVASP-14615,93.4,58.2,58.2,0,0,0,58.2,93.4,58.2,0,0,0,58.2,58.2,93.4,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,69.93333333,16.76,46.56048729,0.389036017
JVASP-25408,29.7,74.5,74.5,0,0,0,74.5,29.7,74.5,0,0,0,74.5,74.5,29.7,0,0,0,0,0,0,38.1,0,0,0,0,0,0,38.1,0,0,0,0,0,0,38.1,59.56666667,13.9,38.69049844,0.391744548
JVASP-816,93.4,58.2,58.2,0,0,0,58.2,93.4,58.2,0,0,0,58.2,58.2,93.4,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,0,0,0,0,0,0,16.2,69.93333333,16.76,46.56048729,0.389036017
JVASP-14620,66.4,30.7,39.5,0,0,0,30.7,66.4,39.5,0,0,0,39.5,39.5,54.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,45.18888889,6.453333333,18.48028916,0.431840586
JVASP-14622,68.1,26,40,0,0,0,26,100.6,22.6,0,0,0,40,22.6,76.1,0,0,0,0,0,0,23.8,0,0,0,0,0,0,37.7,0,0,0,0,0,0,31.5,46.88888889,29.01333333,72.15715857,0.243517209
JVASP-25097,78.1,29.1,30.1,0,0,0,29.1,66.1,41.2,0,0,0,30.1,41.2,61.2,0,0,0,0,0,0,16.7,0,0,0,0,0,0,28.9,0,0,0,0,0,0,-1,45.13333333,15.92,42.73528945,0.342188739
JVASP-25143,66.4,30.7,39.5,0,0,0,30.7,66.4,39.5,0,0,0,39.5,39.5,54.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,45.18888889,6.453333333,18.48028916,0.431840586
JVASP-885,68.1,26,40,0,0,0,26,100.6,22.6,0,0,0,40,22.6,76.1,0,0,0,0,0,0,23.8,0,0,0,0,0,0,37.7,0,0,0,0,0,0,31.5,46.88888889,29.01333333,72.15715857,0.243517209
JVASP-15845,78.1,29.1,30.1,0,0,0,29.1,66.1,41.2,0,0,0,30.1,41.2,61.2,0,0,0,0,0,0,16.7,0,0,0,0,0,0,28.9,0,0,0,0,0,0,-1,45.13333333,15.92,42.73528945,0.342188739
JVASP-25237,2.2974225,0.7658075,4.594845,5.3606525,3.8290375,1.531615,3.06323,3.06323,3.8290375,0,0,0.7658075,4.594845,1.531615,0,1.531615,4.594845,3.06323,3.06323,4.594845,3.06323,0,1.531615,0,4.594845,2.2974225,1.531615,1.531615,5.3606525,4.594845,2.2974225,3.06323,0.7658075,5.3606525,0,3.8290375,2.637781389,1.582668833,3.956672083,0.25
JVASP-14824,54.4,23.9,29,0,0,0,23.9,54.4,29,0,0,0,29,29,47.5,0,0,0,0,0,0,6.6,0,0,0,0,0,0,8.7,0,0,0,0,0,0,8.7,35.56666667,9.76,26.82617208,0.374291602
JVASP-898,45.7,30.7,30.7,0,-0.3,0,30.7,40.5,34.8,0,-0.1,0,30.7,34.8,39,0,0.2,0,0,0,0,13.4,0,-0.5,-0.3,-0.1,0.2,0,5.8,0,0,0,0,-0.5,0,6.7,35.28888889,7.113333333,19.99641234,0.405558506
JVASP-110793,26.3,37.8,37.8,0,0,0,37.8,26.3,37.8,0,0,0,37.8,37.8,26.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,33.96666667,-2.24,-6.871041541,0.53371463
JVASP-14822,34.1,28.5,25.4,0,0,0,28.5,34.1,25.4,0,0,0,25.4,25.4,49.1,0,0,0,0,0,0,2.8,0,0,0,0,0,0,8.4,0,0,0,0,0,0,8.4,30.65555556,6.453333333,18.0905778,0.401646007
JVASP-14696,30.6,31,31,0,0,0,31,30.6,31,0,0,0,31,31,30.6,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,30.86666667,8.74,23.95867377,0.370633511
JVASP-21200,30.6,31,31,0,0,0,31,30.6,31,0,0,0,31,31,30.6,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,0,0,0,0,0,0,14.7,30.86666667,8.74,23.95867377,0.370633511
JVASP-7806,46.7,17.4,29,0,0,0,17.4,46.7,29,0,0,0,29,29,33.4,0,0,0,0,0,0,-1.8,0,0,0,0,0,0,10.5,0,0,0,0,0,0,10.9,30.84444444,7.346666667,20.41884929,0.389667601
JVASP-25371,30.7,28.1,28.5,0,-3.1,0,28.1,30.7,28.5,0,3.1,0,28.5,28.5,41.4,0,0,0,0,0,0,1.3,0,-3.1,-3.1,3.1,0,0,3.6,0,0,0,0,-3.1,0,3.6,30.33333333,2.88,8.374946741,0.453983809
JVASP-25046,46.7,17.4,29,0,0,0,17.4,46.7,29,0,0,0,29,29,33.4,0,0,0,0,0,0,-1.8,0,0,0,0,0,0,10.7,0,0,0,0,0,0,10.7,30.84444444,7.346666667,20.41884929,0.389667601
JVASP-119951,48.4,32.7,7.2,0,0,0,32.7,48.4,7.2,0,0,0,7.2,7.2,50.2,0,0,0,0,0,0,7.9,0,0,0,0,0,0,-8.8,0,0,0,0,0,0,-8.8,26.8,4.72,13.37481203,0.416823308
JVASP-961,49.3,39.2,39.2,0,0,0,39.2,49.3,39.2,0,0,0,39.2,39.2,49.3,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,16,42.56666667,11.62,31.95249785,0.374892334
JVASP-17723,49.3,39.2,39.2,0,0,0,39.2,49.3,39.2,0,0,0,39.2,39.2,49.3,0,0,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,16,42.56666667,11.62,31.95249785,0.374892334
JVASP-25166,26.8,49.1,49.1,0,0,0,49.1,26.8,49.1,0,0,0,49.1,49.1,26.8,0,0,0,0,0,0,18.5,0,0,0,0,0,0,18.5,0,0,0,0,0,0,18.5,41.66666667,6.64,18.91522334,0.424339107
JVASP-111128,32.4,24.6,24.6,0,0,0,24.6,32.4,24.6,0,0,0,24.6,24.6,32.4,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,9,27.2,6.96,19.23902439,0.382113821
JVASP-14823,68,42.7,30.4,0,0,0,42.7,67.9,30.4,0,0,0,30.4,30.4,78.8,0,0,0,0,0,0,21.6,0,0,0,0,0,0,21,0,0,0,0,0,0,20.9,46.85555556,20.11333333,52.78686001,0.312235499
JVASP-14601,54.1,27.7,27.7,0,0,0,27.7,54.1,27.7,0,0,0,27.7,27.7,54.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,36.5,19.74,50.17479109,0.270891365
JVASP-15762,33.4,52,52,0,0,0,52,33.4,52,0,0,0,52,52,33.4,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,45.8,4.5,13.07188161,0.45243129
JVASP-78329,51.9,33.2,46.1,0,0,0,33.2,51.9,46.1,0,0,0,46.1,46.1,62.4,0,0,0,0,0,0,11.7,0,0,0,0,0,0,13.5,0,0,0,0,0,0,13.5,46.33333333,10.46,29.1838619,0.395022079
JVASP-25069,53.4,43.4,43.4,0,0,0,43.4,53.4,43.4,0,0,0,43.4,43.4,53.4,0,0,0,0,0,0,14.2,0,0,0,0,0,0,14.2,0,0,0,0,0,0,14.2,46.73333333,10.52,29.35716561,0.395302548
JVASP-1008,54.1,27.7,27.7,0,0,0,27.7,54.1,27.7,0,0,0,27.7,27.7,54.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,0,0,0,0,0,0,24.1,36.5,19.74,50.17479109,0.270891365
JVASP-25322,33.4,52,52,0,0,0,52,33.4,52,0,0,0,52,52,33.4,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13.7,45.8,4.5,13.07188161,0.45243129
JVASP-14782,48.1,43,41.8,0,0,0,43,48.1,41.8,0,0,0,41.8,41.8,66.9,0,0,0,0,0,0,27.8,0,0,0,0,0,0,7.3,0,0,0,0,0,0,7.3,46.25555556,10.91333333,30.35289061,0.390633351
JVASP-25202,48.1,43,41.8,0,0,0,43,48.1,41.8,0,0,0,41.8,41.8,66.9,0,0,0,0,0,0,27.8,0,0,0,0,0,0,7.3,0,0,0,0,0,0,7.3,46.25555556,10.91333333,30.35289061,0.390633351
JVASP-14658,100.6,36.8,36.8,0,0,0,36.8,100.6,36.8,0,0,0,36.8,36.8,100.6,0,0,0,0,0,0,52,0,0,0,0,0,0,52,0,0,0,0,0,0,52,58.06666667,43.96,105.3057206,0.197744774
JVASP-14819,123.4,44.5,32.5,0,0,0,44.5,123.4,32.5,0,0,0,32.5,32.5,116.3,0,0,0,0,0,0,48.9,0,0,0,0,0,0,39.4,0,0,0,0,0,0,39.4,64.67777778,42.44666667,104.4832741,0.230759472
JVASP-99584,95.6,85.3,15.3,0,0,0,85.3,82.2,15.2,0,0,0,15.3,15.2,156.2,0,0,0,0,0,0,9.8,0,0,0,0,0,0,39.1,0,0,0,0,0,0,38.7,62.84444444,32.06666667,82.21625869,0.281958296
JVASP-9092,133.9,16.6,25.3,0,0,0,16.6,133.9,25.3,0,0,0,25.3,25.3,76,0,0,0,0,0,0,34.1,0,0,0,0,0,0,44.2,0,0,0,0,0,0,44.2,53.13333333,42.94,101.4821983,0.181674409
JVASP-25100,122.5,32,19.8,0,0,0,32,122.5,19.8,0,0,0,19.8,19.8,141.2,0,0,0,0,0,0,45.2,0,0,0,0,0,0,35.3,0,0,0,0,0,0,35.3,58.82222222,44.13333333,105.9119976,0.199909338
JVASP-25108,76.8,58.9,46.3,0,0,0,58.9,76.8,46.3,0,0,0,46.3,46.3,81.7,0,0,0,0,0,0,8.9,0,0,0,0,0,0,10.5,0,0,0,0,0,0,10.5,59.81111111,11.56666667,32.59862129,0.409162304
JVASP-25048,133.8,16.2,25.6,0,0,0,16.2,133.8,25.6,0,0,0,25.6,25.6,76.2,0,0,0,0,0,0,34.2,0,0,0,0,0,0,44.3,0,0,0,0,0,0,44.3,53.17777778,42.98666667,101.5870959,0.181611693
JVASP-25334,123.3,44.4,32.5,0,0,0,44.4,123.5,32.6,0,0,0,32.5,32.6,116.3,0,0,0,0,0,0,48.9,0,0,0,0,0,0,39.6,0,0,0,0,0,0,39.3,64.67777778,42.46666667,104.5236646,0.230655391
JVASP-890,100.6,36.8,36.8,0,0,0,36.8,100.6,36.8,0,0,0,36.8,36.8,100.6,0,0,0,0,0,0,52,0,0,0,0,0,0,52,0,0,0,0,0,0,52,58.06666667,43.96,105.3057206,0.197744774
JVASP-25088,60.4,58.3,58.3,0,0,0,58.3,60.4,58.3,0,0,0,58.3,58.3,60.4,0,0,0,0,0,0,14.4,0,0,0,0,0,0,14.4,0,0,0,0,0,0,14.4,59,9.06,25.8564979,0.426959045
JVASP-25413,33.6,73.4,73.4,0,0,0,73.4,33.6,73.4,0,0,0,73.4,73.4,33.6,0,0,0,0,0,0,8.4,0,0,0,0,0,0,8.4,0,0,0,0,0,0,8.4,60.13333333,-2.92,-8.904124408,0.524678837
JVASP-16730,60.4,58.3,58.3,0,0,0,58.3,60.4,58.3,0,0,0,58.3,58.3,60.4,0,0,0,0,0,0,14.4,0,0,0,0,0,0,14.4,0,0,0,0,0,0,14.4,59,9.06,25.8564979,0.426959045
JVASP-14847,170.2,37.3,37.3,0,0,0,37.3,170.2,37.3,0,0,0,37.3,37.3,170.2,0,0,0,0,0,0,64.6,0,0,0,0,0,0,64.6,0,0,0,0,0,0,64.6,81.6,65.34,154.722693,0.183981428
JVASP-14831,169.4,64.9,66.7,0,0,0,64.9,169.4,66.7,0,0,0,66.7,66.7,123.1,0,0,0,0,0,0,88.8,0,0,0,0,0,0,65.1,0,0,0,0,0,0,65.1,95.38888889,61.37333333,151.6055898,0.235109628
JVASP-91933,163.5,33.2,44.6,0,8.4,0,33.2,134.6,52.8,0,-7.5,0,44.6,52.8,161.3,0,-8.2,0,0,0,0,38.9,0,5.8,8.4,-7.5,-8.2,0,58.2,0,0,0,0,5.8,0,65.1,80.06666667,54.36,132.9841662,0.223180337
JVASP-14636,53.5,72.5,72.5,0,0,0,72.5,53.5,72.5,0,0,0,72.5,72.5,53.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,3.5,66.16666667,-1.7,-5.144054878,0.512957317
JVASP-96736,150,55.9,55.9,0,0,0,55.9,150,55.9,0,0,0,55.9,55.9,150,0,0,0,0,0,0,74.1,0,0,0,0,0,0,74.1,0,0,0,0,0,0,74.1,87.26666667,63.28,152.8857881,0.208010336
JVASP-14670,132.5,99.9,27.9,0,0,0,99.9,132.5,27.9,0,0,0,27.9,27.9,256.1,0,0,0,0,0,0,16.3,0,0,0,0,0,0,81.2,0,0,0,0,0,0,81.2,92.5,60.1,148.2027547,0.232968009
JVASP-14595,224.2,50.2,52.3,0,0,0,50.2,162.2,40.8,0,0,0,52.3,40.8,128.7,0,0,0,0,0,0,84,0,0,0,0,0,0,33.5,0,0,0,0,0,0,72,89.07777778,62.68666667,152.327536,0.214991513
JVASP-7837,178.8,48.5,31.5,0,0,0,48.5,178.8,31.5,0,0,0,31.5,31.5,204.3,0,0,0,0,0,0,65.2,0,0,0,0,0,0,48.2,0,0,0,0,0,0,48.2,87.21111111,62.34666667,151.0460481,0.211340206
JVASP-78726,123.1,66.6,66.9,0,0,0,66.6,169.5,64.7,0,0,0,66.9,64.7,169.6,0,0,0,0,0,0,65,0,0,0,0,0,0,88.8,0,0,0,0,0,0,65.1,95.4,61.38,151.6222683,0.235111341
JVASP-25124,91.4,69.9,53.1,0,0,0,69.9,91.4,53.1,0,0,0,53.1,53.1,85.8,0,0,0,0,0,0,10.8,0,0,0,0,0,0,8.6,0,0,0,0,0,0,8.6,68.97777778,11.76666667,33.40076208,0.419295839
JVASP-25149,178.8,48.5,31.5,0,0,0,48.5,178.8,31.5,0,0,0,31.5,31.5,204.3,0,0,0,0,0,0,65.2,0,0,0,0,0,0,48.2,0,0,0,0,0,0,48.2,87.21111111,62.34666667,151.0460481,0.211340206
JVASP-25151,170.2,37.3,37.3,0,0,0,37.3,170.2,37.3,0,0,0,37.3,37.3,170.2,0,0,0,0,0,0,64.6,0,0,0,0,0,0,64.6,0,0,0,0,0,0,64.6,81.6,65.34,154.722693,0.183981428
JVASP-25064,42.8,93,93,0,0,0,93,42.8,93,0,0,0,93,93,42.8,0,0,0,0,0,0,12.1,0,0,0,0,0,0,12.1,0,0,0,0,0,0,12.1,76.26666667,-2.78,-8.442580303,0.518449695
JVASP-25173,53.5,72.5,72.5,0,0,0,72.5,53.5,72.5,0,0,0,72.5,72.5,53.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,3.5,0,0,0,0,0,0,3.5,66.16666667,-1.7,-5.144054878,0.512957317
JVASP-25132,230.9,45.5,48.7,0,0,0,45.5,165.5,43.3,0,0,0,48.7,43.3,131.2,0,0,0,0,0,0,86.4,0,0,0,0,0,0,34.8,0,0,0,0,0,0,73.3,89.17777778,64.90666667,156.702234,0.207135122
JVASP-16237,91.4,69.9,53.1,0,0,0,69.9,91.4,53.1,0,0,0,53.1,53.1,85.8,0,0,0,0,0,0,10.8,0,0,0,0,0,0,8.6,0,0,0,0,0,0,8.6,68.97777778,11.76666667,33.40076208,0.419295839
JVASP-25300,19.1,10.6,19.5,-10.8,12.3,14.3,10.6,17.5,35.8,7.2,18.3,4.8,19.5,35.8,21.3,-16.1,-1.2,-15.9,-10.8,7.2,-16.1,-4.7,2.8,-7.3,12.3,18.3,-1.2,2.8,1.4,-9.6,14.3,4.8,-15.9,-7.3,-9.6,-22,21.07777778,-5.593333333,-18.40831598,0.64555864
JVASP-25094,107.7,34.4,48.4,0,0,0,34.4,70.1,36.2,0,0,0,48.4,36.2,124,0,0,0,0,0,0,-39.3,0,0,0,0,0,0,-50.1,0,0,0,0,0,0,51,59.97777778,4.506666667,13.18964794,0.463348514
JVASP-1002,150,55.9,55.9,0,0,0,55.9,150,55.9,0,0,0,55.9,55.9,150,0,0,0,0,0,0,74.1,0,0,0,0,0,0,74.1,0,0,0,0,0,0,74.1,87.26666667,63.28,152.8857881,0.208010336
JVASP-25174,132.5,99.9,27.9,0,0,0,99.9,132.5,27.9,0,0,0,27.9,27.9,256.1,0,0,0,0,0,0,16.3,0,0,0,0,0,0,81.2,0,0,0,0,0,0,81.2,92.5,60.1,148.2027547,0.232968009
JVASP-25255,174.4,36,36.9,0,-7.8,-10.2,36,174.4,36.9,0,7.8,10.2,36.9,36.9,140.3,0,0,0,0,0,0,69.2,10.2,-7.8,-7.8,7.8,0,10.2,62.9,0,-10.2,10.2,0,-7.8,0,62.9,78.74444444,64.28666667,151.6037557,0.179122854
JVASP-25362,169.4,64.9,66.7,0,0,0,64.9,169.4,66.7,0,0,0,66.7,66.7,123.1,0,0,0,0,0,0,88.8,0,0,0,0,0,0,65.1,0,0,0,0,0,0,65.1,95.38888889,61.37333333,151.6055898,0.235109628
JVASP-25368,143,45.4,45.4,0,0,0,45.4,143,45.4,0,0,0,45.4,45.4,143,0,0,0,0,0,0,43.9,0,0,0,0,0,0,43.9,0,0,0,0,0,0,43.9,77.93333333,45.86,115.0189659,0.254022742
JVASP-25415,135.8,54.1,40.8,0,0,0,54.1,135.8,40.8,0,0,0,40.8,40.8,178.6,0,0,0,0,0,0,30.6,0,0,0,0,0,0,49.2,0,0,0,0,0,0,49.1,80.17777778,46.74666667,117.4199202,0.255917572
JVASP-91623,1105.1,78,32.1,0,0,0,78,1073.7,92.5,0,0,0,32.1,92.5,1189.5,0,0,0,0,0,0,366.1,0,0,0,0,0,0,501.6,0,0,0,0,0,0,454.4,419.2777778,475.4666667,1035.119983,0.088530549
JVASP-96837,1038.7,183.9,-4.3,0,-0.4,0,183.9,1038.7,-4.3,0,0.4,0,-4.3,-4.3,42.4,0,0,0,0,0,0,427.4,0,-0.4,-0.4,0.4,0,0,0.3,0,0,0,0,-0.4,0,0.3,274.4888889,215.2333333,511.901826,0.189178781
JVASP-7843,1057.7,191.6,-3.4,0,-2.3,0,191.6,1057.8,-3.3,0,2.3,0,-3.4,-3.3,41.3,0,0,0,0,0,0,432.8,0,-2.3,-2.3,2.3,0,0,4.3,0,0,0,0,-2.3,0,4.1,280.7333333,219.7,522.736623,0.189660043
JVASP-8006,1083.8,38.1,38.1,0,0,0,38.1,1083.8,38.1,0,0,0,38.1,38.1,1083.8,0,0,0,0,0,0,491.6,0,0,0,0,0,0,491.6,0,0,0,0,0,0,491.6,386.6666667,504.1,1054.184244,0.04561024
JVASP-8067,1189.8,100,16.8,0,0,0,100,1189.8,16.8,0,0,0,16.8,16.8,1291.6,0,0,0,0,0,0,544.9,0,0,0,0,0,0,461.2,0,0,0,0,0,0,461.2,437.6,529.3,1131.640584,0.06899734
JVASP-29568,1006.6,182.4,-4.8,0,0,0,182.4,1006.6,-4.8,0,0,0,-4.8,-4.8,37.8,0,0,0,0,0,0,412.1,0,0,0,0,0,0,-4.6,0,0,0,0,0,0,-4.6,266.2888889,205.7933333,490.9166312,0.192741823
JVASP-29885,1059.5,188.9,-0.3,0,-1.8,0,188.9,1066.1,-6.9,0,1.6,0,-0.3,-6.9,41.7,0,-0.5,0,0,0,0,431.7,0,-1,-1.8,1.6,-0.5,0,4.8,0,0,0,0,-1,0,4.2,281.1888889,220.5133333,524.4465573,0.189149312
JVASP-91,1061,125.6,125.6,0,0,0,125.6,1061,125.6,0,0,0,125.6,125.6,1061,0,0,0,0,0,0,559.3,0,0,0,0,0,0,559.3,0,0,0,0,0,0,559.3,437.4,522.66,1121.340787,0.072724895
JVASP-29213,994.8,180.1,-4.2,0,0,0,180.1,994.8,-4.2,0,0,0,-4.2,-4.2,33,0,0,0,0,0,0,407.3,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,-4.3,262.8888889,203.1333333,484.5870807,0.192780803
JVASP-25071,994.7,180.1,-4.2,0,0,0,180.1,994.7,-4.2,0,0,0,-4.2,-4.2,33,0,0,0,0,0,0,407.3,0,0,0,0,0,0,-4.3,0,0,0,0,0,0,-4.3,262.8666667,203.12,484.5533981,0.192776187
JVASP-25055,932.5,175,61.7,0,0,0,175,932.5,61.7,0,0,0,61.7,61.7,1195.3,0,0,0,0,0,0,323.3,0,0,0,0,0,0,447.9,0,0,0,0,0,0,447.9,406.3444444,427.9466667,950.250613,0.110244205
JVASP-25274,1171.5,99.9,39.8,0,0,0,99.9,1171.5,39.8,0,0,0,39.8,39.8,1240.5,0,0,0,0,0,0,535.8,0,0,0,0,0,0,478.3,0,0,0,0,0,0,478.3,438.0555556,525.4133333,1126.040763,0.071576121
JVASP-843,1048.6,190.9,-0.9,0,0,0,190.9,1052.1,-6.7,0,0,0,-0.9,-6.7,40.8,0,0,0,0,0,0,430.2,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,7.6,278.6777778,217.5866667,517.9563018,0.190229874
JVASP-25275,1164.1,99.6,48.1,0,0,0,99.6,1164.1,48.1,0,0,0,48.1,48.1,1221.5,0,0,0,0,0,0,532.3,0,0,0,0,0,0,484.5,0,0,0,0,0,0,484.5,437.9222222,523.8533333,1123.552825,0.072392551
JVASP-25225,823.3,140.7,122.9,0,0,0,140.7,352.5,89.3,0,0,0,122.9,89.3,968.6,0,0,0,0,0,0,177.5,0,0,0,0,0,0,145.7,0,0,0,0,0,0,395,316.6888889,263.0733333,618.07509,0.174720148
JVASP-25407,1058.6,191.9,-3.4,0,0,0,191.9,1058.6,-3.4,0,0,0,-3.4,-3.4,41.2,0,0,0,0,0,0,433.4,0,0,0,0,0,0,4.3,0,0,0,0,0,0,4.3,280.9555556,219.9533333,523.3002754,0.189571141
JVASP-25280,1160,99.2,52.2,0,0,0,99.2,1160,52.2,0,0,0,52.2,52.2,1211.6,0,0,0,0,0,0,530.4,0,0,0,0,0,0,487.6,0,0,0,0,0,0,487.6,437.6444444,522.9866667,1122.020503,0.072704693
JVASP-25229,1006.6,182.4,-4.8,0,0,0,182.4,1006.6,-4.8,0,0,0,-4.8,-4.8,37.8,0,0,0,0,0,0,412.1,0,0,0,0,0,0,-4.6,0,0,0,0,0,0,-4.6,266.2888889,205.7933333,490.9166312,0.192741823
JVASP-25152,1057.7,191.6,-3.4,0,-2.3,0,191.6,1057.8,-3.3,0,2.3,0,-3.4,-3.3,41.3,0,0,0,0,0,0,432.8,0,-2.3,-2.3,2.3,0,0,4.3,0,0,0,0,-2.3,0,4.1,280.7333333,219.7,522.736623,0.189660043
JVASP-25289,1065.3,188.8,-1.8,0,-2.2,0,188.8,1070.5,-6,0,1.5,0,-1.8,-6,44,0,1.6,0,0,0,0,434,0,-1,-2.2,1.5,1.6,0,6.3,0,0,0,0,-1,0,2.8,282.4222222,221.8733333,527.4871754,0.188712423
JVASP-25171,1083.8,38.1,38.1,0,0,0,38.1,1083.8,38.1,0,0,0,38.1,38.1,1083.8,0,0,0,0,0,0,491.6,0,0,0,0,0,0,491.6,0,0,0,0,0,0,491.6,386.6666667,504.1,1054.184244,0.04561024
JVASP-25116,194.5,290.8,290.8,0,0,0,290.8,194.5,290.8,0,0,0,290.8,290.8,194.5,0,0,0,0,0,0,-214.6,0,0,0,0,0,0,-214.6,0,0,0,0,0,0,-214.6,258.7,-148.02,-548.7118934,0.853505923
JVASP-25306,1061,125.6,125.6,0,0,0,125.6,1061,125.6,0,0,0,125.6,125.6,1061,0,0,0,0,0,0,559.3,0,0,0,0,0,0,559.3,0,0,0,0,0,0,559.3,437.4,522.66,1121.340787,0.072724895
JVASP-30458,1050.9,188.9,-1.5,0,0,0,188.9,1053.6,-5.9,0,0,0,-1.5,-5.9,40,0,0,0,0,0,0,425.5,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,7.4,278.6111111,216.9266667,516.6834005,0.190917208
JVASP-29709,588.2,146.7,1.7,0,0,0,146.7,330.4,0.7,0,0,0,1.7,0.7,25.2,0,0,0,0,0,0,188.5,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,-5.4,138,88.72,219.1880968,0.235280076
JVASP-48,1058.9,191.9,-3.4,0,0,0,191.9,1058.9,-3.4,0,0,0,-3.4,-3.4,41.4,0,0,0,0,0,0,433.5,0,0,0,0,0,0,4.3,0,0,0,0,0,0,4.3,281.0444444,220.0266667,523.4729022,0.189566951
JVASP-25243,502.2,222.9,222.9,0,0,0,222.9,502.2,222.9,0,0,0,222.9,222.9,502.2,0,0,0,0,0,0,289.3,0,0,0,0,0,0,289.3,0,0,0,0,0,0,289.3,316,229.44,554.1916021,0.207704851
JVASP-25363,1050.9,188.9,-1.5,0,0,0,188.9,1053.6,-5.9,0,0,0,-1.5,-5.9,40,0,0,0,0,0,0,425.4,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,7.4,278.6111111,216.9066667,516.6455788,0.190939833
JVASP-25258,588.2,146.7,1.7,0,0,0,146.7,330.4,0.7,0,0,0,1.7,0.7,25.2,0,0,0,0,0,0,188.5,0,0,0,0,0,0,-4.4,0,0,0,0,0,0,-5.4,138,88.72,219.1880968,0.235280076
JVASP-25411,350.6,302,302,0,0,0,302,350.6,302,0,0,0,302,302,350.6,0,0,0,0,0,0,431.9,0,0,0,0,0,0,431.9,0,0,0,0,0,0,431.9,318.2,268.86,629.3309695,0.170369281
JVASP-25403,294.5,53.2,0,0,0,0,53.2,294.6,0,0,0,0,0,0,0.7,0,0,0,0,0,0,120.7,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,77.35555556,59.95333333,142.9337397,0.192041641
JVASP-25404,353.3,63.7,0,0,0,0,63.7,353.3,0,0,0,0,0,0,-0.1,0,0,0,0,0,0,144.8,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,92.65555556,71.89333333,171.3595457,0.191762419
JVASP-25182,1189.8,100,16.8,0,0,0,100,1189.8,16.8,0,0,0,16.8,16.8,1291.6,0,0,0,0,0,0,544.9,0,0,0,0,0,0,461.2,0,0,0,0,0,0,461.2,437.6,529.3,1131.640584,0.06899734
JVASP-135299,1002,180.4,-4.3,0,0,0,180.4,1002,-4.3,0,0,0,-4.3,-4.3,38.7,0,0,0,0,0,0,410.8,0,0,0,0,0,0,-4.5,0,0,0,0,0,0,-4.5,265.1444444,205.0866667,489.1439578,0.192529884
JVASP-135302,609.1,82.9,39.5,0,0,0,82.9,609.1,39.5,0,0,0,39.5,39.5,811.8,0,0,0,0,0,0,263.1,0,0,0,0,0,0,-177.8,0,0,0,0,0,0,-177.8,261.5333333,106.04,280.2444894,0.321409324
