Material,c11,c12,c13,c14,c15,c16,c21,c22,c23,c24,c25,c26,c31,c32,c33,c34,c35,c36,c41,c42,c43,c44,c45,c46,c51,c52,c53,c54,c55,c56,c61,c62,c63,c64,c65,c66,Bulk Modulus (K),Shear Modulus (G),Young Modulus (E),Poisson's Ratio (v)
JVASP-111005,44,30.5,34.2,0,-7.5,0,30.5,44,34.2,0,7.5,0,34.2,34.2,42.3,0,0,0,0,0,0,6.7,0,-7.5,-7.5,7.5,0,0,17.5,0,0,0,0,-7.5,0,17.5,36.45555556,10.43333333,28.57409572,0.369365609
JVASP-99931,0.666666667,0,0.333333333,0,0.833333333,0.247703101,0,0.666666667,0,0.333333333,0,0.085630233,0.333333333,-2.22E-16,0.666666667,-1.11E-16,0.914369767,0.5,0,0.333333333,0,0.666666667,0.752296899,0.666666667,0.333333333,0.666666667,0.666666667,0.333333333,0.166666667,0.581036434,0.666666667,0.333333333,0.333333333,0.666666667,0.333333333,0.418963566,0.296296296,0.361570491,0.771067011,0.066274807
JVASP-91678,36.4,4.2,-1.1,0,0,0,4.2,71,17.9,0,0,0,-1.1,17.9,17.6,0,0,0,0,0,0,6.1,0,0,0,0,0,0,13,0,0,0,0,0,0,-1.3,18.55555556,10.49333333,26.48710198,0.262091898
JVASP-106332,0.666666667,0,0.333333333,0,0.833333333,0.247560345,0,0.666666667,0,0.333333333,0,0.085772989,0.333333333,-2.22E-16,0.666666667,-1.11E-16,0.914227011,0.5,0,0.333333333,0,0.666666667,0.752439655,0.666666667,0.333333333,0.666666667,0.666666667,0.333333333,0.166666667,0.580893678,0.666666667,0.333333333,0.333333333,0.666666667,0.333333333,0.419106322,0.296296296,0.361599042,0.771110291,0.066250461
JVASP-108076,75.4,36.5,15.4,0,0,0,36.5,45.6,16.6,0,0,0,15.4,16.6,59.4,0,0,0,0,0,0,37.3,0,0,0,0,0,0,13.7,0,0,0,0,0,0,13,35.26666667,20.26,51.01161352,0.258924322
JVASP-37338,280.3,92.8,92.8,0,0,0,92.8,280.3,92.8,0,0,0,92.8,92.8,280.3,0,0,0,0,0,0,79.9,0,0,0,0,0,0,79.9,0,0,0,0,0,0,79.9,155.3,85.44,216.5986288,0.267548155
JVASP-116398,120.4,33.1,14.1,0,0,0,33.1,120.4,14.1,0,0,0,14.1,14.1,46.3,0,0,0,0,0,0,41.8,0,0,0,0,0,0,4.2,0,0,0,0,0,0,4.2,45.52222222,25.09333333,63.5948204,0.267165656
JVASP-100395,82.2,47.2,2.8,0,0,0,47.2,82.2,2.8,0,0,0,2.8,2.8,126.4,0,0,0,0,0,0,61,0,0,0,0,0,0,17.5,0,0,0,0,0,0,17.5,44.04444444,35.06666667,83.13652313,0.185406699
JVASP-118394,53.1,5.7,15.8,0,-13.3,0,5.7,34.7,19.3,0,-0.5,0,15.8,19.3,63.4,0,-1.8,0,0,0,0,4.6,0,1.8,-13.3,-0.5,-1.8,0,5.2,0,0,0,0,1.8,0,-2.6,25.86666667,8.8,23.71111111,0.347222222
JVASP-118396,42.4,25.2,24.7,0,0,0,25.2,42.4,24.7,0,0,0,24.7,24.7,98.3,0,0,0,0,0,0,-2.1,0,0,0,0,0,0,-83.6,0,0,0,0,0,0,-83.6,36.92222222,-26.62666667,-105.1585611,0.974685049
JVASP-118397,88.6,44.7,22,0,0,0,44.7,88.6,22,0,0,0,22,22,98.4,0,0,0,0,0,0,58.7,0,0,0,0,0,0,6,0,0,0,0,0,0,6,50.33333333,26.6,67.84797297,0.275337838
JVASP-57264,68.6,43.7,47.4,0,-4.3,0,43.7,83.2,59.3,0,6.5,0,47.4,59.3,95,0,-2.6,0,0,0,0,35.2,0,4,-4.3,6.5,-2.6,0,35.8,0,0,0,0,4,0,32.3,60.84444444,27.08666667,70.75974939,0.306173075
JVASP-136702,-4,1.4,3,0,-0.7,0,1.4,-3.3,-5.2,0,9.1,0,3,-5.2,-34.6,0,0.8,0,0,0,0,-0.9,0,1.3,-0.7,9.1,0.8,0,-18.5,0,0,0,0,1.3,0,0.4,-4.833333333,-6.54,-13.52138783,0.033745247
JVASP-136703,121.5,28.7,16.3,0,0,0,28.7,121.5,16.3,0,0,0,16.3,16.3,56.5,0,0,0,0,0,0,40.8,0,0,0,0,0,0,1.9,0,0,0,0,0,0,1.9,46.9,24.8,63.25123867,0.275226586
JVASP-136704,129.8,58.2,58.3,0,0,0,58.2,637.2,121.1,0,0,0,58.3,121.1,76.7,0,0,0,0,0,0,-8.1,0,0,0,0,0,0,-85.4,0,0,0,0,0,0,-111,146.5444444,-0.493333333,-1.481662644,0.501685112
JVASP-136705,-4.9,2.1,1,0,0,0,2.1,-4.9,1,0,0,0,1,1,-22.9,0,0,0,0,0,0,1.5,0,0,0,0,0,0,-4.2,0,0,0,0,0,0,-4.2,-2.722222222,-3.833333333,-7.826388889,0.020833333
JVASP-136706,198.7,144,63.5,0,0,0,144,198.7,63.5,0,0,0,63.5,63.5,85.3,0,0,0,0,0,0,121.2,0,0,0,0,0,0,61,0,0,0,0,0,0,61,113.8555556,62.75333333,159.040712,0.267189355
JVASP-37207,287.8,171.7,171.7,0,0,0,171.7,287.8,171.7,0,0,0,171.7,171.7,287.8,0,0,0,0,0,0,205.6,0,0,0,0,0,0,205.6,0,0,0,0,0,0,205.6,210.4,146.58,356.8668364,0.217310808
JVASP-116393,109.5,3.7,28.9,0,0,0,3.7,109.5,28.9,0,0,0,28.9,28.9,137.9,0,0,0,0,0,0,23.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,53.32222222,24.83333333,64.48872655,0.298430736
JVASP-116395,284.2,170.9,170.9,0,0,0,170.9,284.2,170.9,0,0,0,170.9,170.9,284.2,0,0,0,0,0,0,205.9,0,0,0,0,0,0,205.9,0,0,0,0,0,0,205.9,208.6666667,146.2,355.5602176,0.216006216
JVASP-117905,63.9,-5,-4.1,0,0,0,-5,81.6,50.1,0,0,0,-4.1,50.1,92.4,0,0,0,0,0,0,3.1,0,0,0,0,0,0,25.9,0,0,0,0,0,0,3.5,35.54444444,19.62666667,49.72731401,0.26683035
JVASP-154298,69,31.1,20.4,0,0,0,31.1,81.7,31.4,0,0,0,20.4,31.4,49.9,0,0,0,0,0,0,12.4,0,0,0,0,0,0,16,0,0,0,0,0,0,7.1,40.71111111,14.94666667,39.9508219,0.336445871
JVASP-12450,37.6,28.6,20.4,-6.6,-9.3,1,28.6,82.5,33.7,-19.4,17.5,-0.2,20.4,33.7,44.3,-1.9,0,4.9,-6.6,-19.4,-1.9,27.6,-4.3,-8,-9.3,17.5,0,-4.3,21.8,-1.5,1,-0.2,4.9,-8,-1.5,19,36.64444444,19.12666667,48.87629526,0.277700294
JVASP-32164,134,40.9,70.1,0,0,0,40.9,66.6,49.4,0,0,0,70.1,49.4,102.8,0,0,0,0,0,0,19.3,0,0,0,0,0,0,28,0,0,0,0,0,0,24,69.35555556,23.79333333,64.05502746,0.346070905
JVASP-114147,199.9,141.9,141.9,0,0,0,141.9,199.9,141.9,0,0,0,141.9,141.9,199.9,0,0,0,0,0,0,166.5,0,0,0,0,0,0,166.5,0,0,0,0,0,0,166.5,161.2333333,111.5,271.8374496,0.219002016
JVASP-114148,148,173,6.9,0,0,0,173,148,6.9,0,0,0,6.9,6.9,52.1,0,0,0,0,0,0,-12.5,0,0,0,0,0,0,-2.6,0,0,0,0,0,0,-2.6,80.18888889,7.213333333,21.01001964,0.45633223
JVASP-116466,83.8,37,36.4,0,0,0,37,100.1,44.8,0,0,0,36.4,44.8,100,0,0,0,0,0,0,36.1,0,0,0,0,0,0,22.3,0,0,0,0,0,0,35.2,57.81111111,29.76666667,76.21848753,0.280265748
JVASP-120384,27.9,31.9,21.7,0,0,0,31.9,27.9,21.7,0,0,0,21.7,21.7,118.9,0,0,0,0,0,0,6.9,0,0,0,0,0,0,-76.7,0,0,0,0,0,0,-76.7,36.14444444,-22.67333333,-86.00321051,0.896571828
JVASP-139699,-9.1,1.3,-0.8,0,0,0,1.3,-9.1,-0.8,0,0,0,-0.8,-0.8,-33.6,0,0,0,0,0,0,2.2,0,0,0,0,0,0,-7.6,0,0,0,0,0,0,-7.6,-5.822222222,-6.033333333,-13.45304965,0.114893617
JVASP-139700,136.8,48.6,35.2,0,0,0,48.6,136.8,35.2,0,0,0,35.2,35.2,117.9,0,0,0,0,0,0,-4.2,0,0,0,0,0,0,2.2,0,0,0,0,0,0,2.2,69.94444444,18.20666667,50.25915044,0.380240309
JVASP-8751,71.1,18.2,24,0,-14.6,0,18.2,71.1,24,0,14.6,0,24,24,41.6,0,0,0,0,0,0,26.4,0,-14.6,-14.6,14.6,0,0,29,0,0,0,0,-14.6,0,29,35.13333333,24.72,60.07119582,0.215032278
JVASP-87925,221.7,109.2,59.4,0,0,-14.6,109.2,221.7,59.4,0,0,14.6,59.4,59.4,98.8,0,0,0,0,0,0,56.2,14.6,0,0,0,0,14.6,41.2,0,-14.6,14.6,0,0,0,41.2,110.9111111,48.66666667,127.3703898,0.308599895
JVASP-99842,0.38005274,0.34112311,0.49709157,0.88005274,0.84112311,0.99709157,0.5,0.5,0,0,0,0.5,0.43476207,0.90130431,0.17799315,0.43476207,0.90130431,0.17799315,0.11994726,0.15887689,0.00290843,0.61994726,0.65887689,0.50290843,0,0,0.5,0.5,0.5,0,0.56523793,0.09869569,0.82200685,0.56523793,0.09869569,0.82200685,0.303830583,0.403046236,0.838408603,0.040089856
